"Term","SumOfSqs","Proportion","timepoint"
"treat.rn",3.00531266486595,0.297732024420347,"TP1"
"Species",0.747496666545901,0.0740534249164718,"TP1"
"Residual",6.34120951226805,0.628214550663181,"TP1"
"treat.rn",1.87768213805128,0.222409046865539,"TP2"
"Species",0.898088239738703,0.10637740294464,"TP2"
"Residual",5.66670156529814,0.671213550189821,"TP2"
