"Sum Sq","Df","F value","Pr(>F)","metric","term","time","amend"
83.6496455214299,1,6935.73333313455,9.6888397714351e-25,"Shannon","(Intercept)","TP1","RW"
0.0149465036194632,2,0.619637792372768,0.549229816371974,"Shannon","species","TP1","RW"
0.0100375848603252,2,0.41612855300199,0.665780657172486,"Shannon","spikeFac","TP1","RW"
0.0785005241422159,4,1.62719966883248,0.210751433946616,"Shannon","species:spikeFac","TP1","RW"
0.217092201655517,18,NA,NA,"Shannon","Residuals","TP1","RW"
93.1135467127316,1,68078.8368712524,1.16852172307444e-33,"Shannon","(Intercept)","TP2","RW"
0.0119663353353849,2,4.37452024976395,0.0282929786138442,"Shannon","species","TP2","RW"
0.000303844964436042,2,0.111076274603792,0.895479077686322,"Shannon","spikeFac","TP2","RW"
0.0143068860538226,4,2.61507642061659,0.0697522531051247,"Shannon","species:spikeFac","TP2","RW"
0.0246191609295386,18,NA,NA,"Shannon","Residuals","TP2","RW"
1.83687819961889,1,1.76605211947777,0.200472394054834,"InvSimpson.c","(Intercept)","TP1","RW"
1.30796607401454,2,0.62876685500913,0.544561012516006,"InvSimpson.c","species","TP1","RW"
1.34545458897919,2,0.646788374161332,0.535473302893521,"InvSimpson.c","spikeFac","TP1","RW"
4.6077591632022,4,1.10752346534254,0.383385979149575,"InvSimpson.c","species:spikeFac","TP1","RW"
18.7218753220699,18,NA,NA,"InvSimpson.c","Residuals","TP1","RW"
35.2124708553932,1,209.923361388766,2.29957500907236e-11,"InvSimpson.c","(Intercept)","TP2","RW"
0.520694320167684,2,1.55209076912728,0.238855870543638,"InvSimpson.c","species","TP2","RW"
0.0124461706562022,2,0.0370996683433254,0.963653574048345,"InvSimpson.c","spikeFac","TP2","RW"
0.904012096857652,4,1.34734409073284,0.291043123638406,"InvSimpson.c","species:spikeFac","TP2","RW"
3.01931367335182,18,NA,NA,"InvSimpson.c","Residuals","TP2","RW"
88.614205349863,1,12182.6461811159,6.14568937820476e-27,"Shannon","(Intercept)","TP1","BS"
0.0720635360735148,2,4.95363333157212,0.0193195419696155,"Shannon","species","TP1","BS"
0.00897039974462757,2,0.616623518545942,0.550781135933656,"Shannon","spikeFac","TP1","BS"
0.00791786054203925,4,0.272136090128669,0.892079320206849,"Shannon","species:spikeFac","TP1","BS"
0.130928508682293,18,NA,NA,"Shannon","Residuals","TP1","BS"
92.8491686241333,1,112518.111419887,1.27095946581748e-35,"Shannon","(Intercept)","TP2","BS"
0.0100360779925639,2,6.08104821249023,0.00960061004224979,"Shannon","species","TP2","BS"
0.00240087239373347,2,1.45473369070543,0.259636539914122,"Shannon","spikeFac","TP2","BS"
0.0022900857378864,4,0.693802987239727,0.605911411829332,"Shannon","species:spikeFac","TP2","BS"
0.0148534757128799,18,NA,NA,"Shannon","Residuals","TP2","BS"
3.06597224843273,1,5.36089274195184,0.0325976757134746,"InvSimpson.c","(Intercept)","TP1","BS"
4.06793468759617,2,3.55641861282601,0.0499333278305837,"InvSimpson.c","species","TP1","BS"
0.863761160662387,2,0.755148866618399,0.484258746692818,"InvSimpson.c","spikeFac","TP1","BS"
0.533960724501959,4,0.233409334831158,0.915910212258299,"InvSimpson.c","species:spikeFac","TP1","BS"
10.2944608534914,18,NA,NA,"InvSimpson.c","Residuals","TP1","BS"
33.1827761290392,1,679.501513129588,9.52631678727465e-16,"InvSimpson.c","(Intercept)","TP2","BS"
0.454910336414095,2,4.65772153495552,0.0234303243974294,"InvSimpson.c","species","TP2","BS"
0.0509443304387884,2,0.521607195912646,0.602268618620215,"InvSimpson.c","spikeFac","TP2","BS"
0.131533109333767,4,0.673368515576954,0.61901434699907,"InvSimpson.c","species:spikeFac","TP2","BS"
0.879011979784652,18,NA,NA,"InvSimpson.c","Residuals","TP2","BS"
