"timepoint","treat.rn","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"TP2","control-0","L",6.52177542252352,0.372727902379629,36,5.80801260098646,7.3232545422866,1,32.8102221794184,2.03003907892422e-28,"Shannon","TP2"
"TP1","RW-0","L",5.21564101540183,0.298080631314298,36,4.64482549261936,5.85660564530731,1,28.8998182306805,1.66254573441124e-26,"Shannon","TP2"
"TP2","RW-0","L",6.55922595637726,0.374868248837757,36,5.84136443517949,7.36530747640148,1,32.9104116630472,1.82529397983313e-28,"Shannon","TP2"
"TP1","BS-0","L",6.47599512411942,0.370111499101536,36,5.76724263686141,7.27184817568936,1,32.6869640764539,2.31466719150618e-28,"Shannon","TP2"
"TP2","BS-0","L",6.58935043939175,0.376589902012977,36,5.86819200368823,7.39913404091458,1,32.9905878796176,1.67679133054412e-28,"Shannon","TP2"
"TP1","control-0","R",6.33238314448217,0.361903888679701,36,5.63934798650207,7.11058732046686,1,32.2945734228393,3.52570632476916e-28,"Shannon","TP2"
"TP2","control-0","R",6.0503312722453,0.345784259301169,36,5.38816472397726,6.79387330921992,1,31.4973277225807,8.4148739586206e-28,"Shannon","TP2"
"TP1","RW-0","R",6.21077522295175,0.354953838644515,36,5.5310492035987,6.9740346632487,1,31.9552822989968,5.09277209136598e-28,"Shannon","TP2"
"TP2","RW-0","R",6.4417836634336,0.368156269865226,36,5.7367753818751,7.23343237345237,1,32.5942835014349,2.55545922985802e-28,"Shannon","TP2"
"TP1","BS-0","R",6.02177668153444,0.344152327502013,36,5.36273523401171,6.76180956544177,1,31.4145530313707,9.22110403023758e-28,"Shannon","TP2"
"TP2","BS-0","R",6.39654608755043,0.365570883881305,36,5.69648874307731,7.18263542605607,1,32.4709740045006,2.9162931130824e-28,"Shannon","TP2"
"TP1","control-0","P",4.76496067122638,0.272323666615988,36,4.24346896799142,5.35053994022281,1,27.3185291760662,1.15653355389757e-25,"Shannon","TP2"
"TP2","control-0","P",6.55133184795226,0.374417090328948,36,5.83433428184921,7.35644323903736,1,32.8893406265105,1.86651851077931e-28,"Shannon","TP2"
"TP1","RW-0","P",5.90707466227641,0.337596958715608,36,5.26058655055528,6.63301149603266,1,31.078049402204,1.34069188452982e-27,"Shannon","TP2"
"TP2","RW-0","P",6.2493801636715,0.357160160948449,36,5.56542910287984,7.01738387249994,1,32.0637061307685,4.5263317466688e-28,"Shannon","TP2"
"TP1","BS-0","P",5.51318520118616,0.315085666453906,36,4.9098055430543,6.19071586360013,1,29.8705842537292,5.30106407480409e-27,"Shannon","TP2"
"TP2","BS-0","P",6.42783613491934,0.367359150567228,36,5.72435431305331,7.21777079436871,1,32.5563576236426,2.66127647683009e-28,"Shannon","TP2"
"TP1","control-0","L",2.84920906059783,1.45294109754714,36,1.01290677830442,8.01455024773557,1,2.0532421742605,0.0473696695231332,"InvSimpson.c","TP1"
"TP2","control-0","L",1.97299083725669,1.00611763179382,36,0.701407215155528,5.54983290703062,1,1.3325947496301,0.191038535659662,"InvSimpson.c","TP1"
"TP1","RW-0","L",0.318553055801957,0.162444670320814,36,0.113247060011696,0.896059017781871,1,-2.24331115331428,0.0311234429010263,"InvSimpson.c","TP1"
"TP2","RW-0","L",3.26317151582787,1.66403935367828,36,1.16007231370324,9.17898670274987,1,2.31926701309812,0.0261687485591341,"InvSimpson.c","TP1"
"TP1","BS-0","L",2.01080111911708,1.02539881167793,36,0.714848942305573,5.65618958265749,1,1.36981956989199,0.179227088730636,"InvSimpson.c","TP1"
"TP2","BS-0","L",3.52358049670232,1.79683371956573,36,1.25264889065816,9.91149204644058,1,2.46982838068336,0.0183923473365515,"InvSimpson.c","TP1"
"TP1","control-0","R",1.26455746860147,0.644855283436361,36,0.449555930877587,3.55707817773445,1,0.460288938311247,0.648077100152723,"InvSimpson.c","TP1"
"TP2","control-0","R",1.52599255574355,0.778172907510545,36,0.542497293277038,4.29246985937597,1,0.828804499321759,0.412676604159579,"InvSimpson.c","TP1"
"TP1","RW-0","R",1.16699641466318,0.595104471273347,36,0.414872532527071,3.28264834391719,1,0.302842767897504,0.763752772665651,"InvSimpson.c","TP1"
"TP2","RW-0","R",3.31026382685318,1.68805386177928,36,1.17681384443302,9.3114528310568,1,2.34736475004554,0.0245238711664844,"InvSimpson.c","TP1"
"TP1","BS-0","R",1.55814426136502,0.794568522384753,36,0.553927370840809,4.38290950587898,1,0.869692174576681,0.390230597493519,"InvSimpson.c","TP1"
"TP2","BS-0","R",2.95904162484158,1.50894971012865,36,1.0519527543753,8.32349865631059,1,2.12741483317644,0.0403052512997417,"InvSimpson.c","TP1"
"TP1","control-0","P",0.391586832808708,0.199687910063965,36,0.139210899871095,1.10149598753505,1,-1.83852617345572,0.074246486719625,"InvSimpson.c","TP1"
"TP2","control-0","P",3.53029456307532,1.80025752693034,36,1.25503577178712,9.93037806749716,1,2.47356143494331,0.0182295687251007,"InvSimpson.c","TP1"
"TP1","RW-0","P",0.63119155464461,0.321873239436983,36,0.224391468126907,1.7754809573658,1,-0.902343418761668,0.372872497806008,"InvSimpson.c","TP1"
"TP2","RW-0","P",3.12318810352158,1.59265545436132,36,1.11030757403003,8.78522686697886,1,2.23328668931916,0.0318365108204735,"InvSimpson.c","TP1"
"TP1","BS-0","P",0.682085043297992,0.34782614064197,36,0.242484334789964,1.91863943167218,1,-0.750278207336222,0.457963036904706,"InvSimpson.c","TP1"
"TP2","BS-0","P",2.9695739511678,1.51432062165065,36,1.05569704428182,8.3531250742995,1,2.13438234600232,0.0396920436702773,"InvSimpson.c","TP1"
"TP1","control-0","L",2.84920906059783,1.45294109754714,36,1.01290677830442,8.01455024773557,1,2.0532421742605,0.0473696695231332,"InvSimpson.c","TP2"
"TP2","control-0","L",1.97299083725669,1.00611763179382,36,0.701407215155528,5.54983290703062,1,1.3325947496301,0.191038535659662,"InvSimpson.c","TP2"
"TP1","RW-0","L",0.318553055801957,0.162444670320814,36,0.113247060011696,0.896059017781871,1,-2.24331115331428,0.0311234429010263,"InvSimpson.c","TP2"
"TP2","RW-0","L",3.26317151582787,1.66403935367828,36,1.16007231370324,9.17898670274987,1,2.31926701309812,0.0261687485591341,"InvSimpson.c","TP2"
"TP1","BS-0","L",2.01080111911708,1.02539881167793,36,0.714848942305573,5.65618958265749,1,1.36981956989199,0.179227088730636,"InvSimpson.c","TP2"
"TP2","BS-0","L",3.52358049670232,1.79683371956573,36,1.25264889065816,9.91149204644058,1,2.46982838068336,0.0183923473365515,"InvSimpson.c","TP2"
"TP1","control-0","R",1.26455746860147,0.644855283436361,36,0.449555930877587,3.55707817773445,1,0.460288938311247,0.648077100152723,"InvSimpson.c","TP2"
"TP2","control-0","R",1.52599255574355,0.778172907510545,36,0.542497293277038,4.29246985937597,1,0.828804499321759,0.412676604159579,"InvSimpson.c","TP2"
"TP1","RW-0","R",1.16699641466318,0.595104471273347,36,0.414872532527071,3.28264834391719,1,0.302842767897504,0.763752772665651,"InvSimpson.c","TP2"
"TP2","RW-0","R",3.31026382685318,1.68805386177928,36,1.17681384443302,9.3114528310568,1,2.34736475004554,0.0245238711664844,"InvSimpson.c","TP2"
"TP1","BS-0","R",1.55814426136502,0.794568522384753,36,0.553927370840809,4.38290950587898,1,0.869692174576681,0.390230597493519,"InvSimpson.c","TP2"
"TP2","BS-0","R",2.95904162484158,1.50894971012865,36,1.0519527543753,8.32349865631059,1,2.12741483317644,0.0403052512997417,"InvSimpson.c","TP2"
"TP1","control-0","P",0.391586832808708,0.199687910063965,36,0.139210899871095,1.10149598753505,1,-1.83852617345572,0.074246486719625,"InvSimpson.c","TP2"
"TP2","control-0","P",3.53029456307532,1.80025752693034,36,1.25503577178712,9.93037806749716,1,2.47356143494331,0.0182295687251007,"InvSimpson.c","TP2"
"TP1","RW-0","P",0.63119155464461,0.321873239436983,36,0.224391468126907,1.7754809573658,1,-0.902343418761668,0.372872497806008,"InvSimpson.c","TP2"
"TP2","RW-0","P",3.12318810352158,1.59265545436132,36,1.11030757403003,8.78522686697886,1,2.23328668931916,0.0318365108204735,"InvSimpson.c","TP2"
"TP1","BS-0","P",0.682085043297992,0.34782614064197,36,0.242484334789964,1.91863943167218,1,-0.750278207336222,0.457963036904706,"InvSimpson.c","TP2"
"TP2","BS-0","P",2.9695739511678,1.51432062165065,36,1.05569704428182,8.3531250742995,1,2.13438234600232,0.0396920436702773,"InvSimpson.c","TP2"
