"Df","SumOfSqs","R2","F","Pr(>F)","timepoint"
6,2.99557462040172,0.29610112878409,4.23590180564794,0.001,"TP1"
2,0.75647066305303,0.074774240540205,3.20906923071371,0.001,"TP1"
54,6.3646828516346,0.629124630675705,NA,NA,"TP1"
62,10.1167281350894,1,NA,NA,"TP1"
6,1.86876747360895,0.221681304380838,2.97058527551184,0.001,"TP2"
2,0.899389804107459,0.106689520091192,4.28899926838008,0.001,"TP2"
54,5.66181600680783,0.67162917552797,NA,NA,"TP2"
62,8.42997328452424,1,NA,NA,"TP2"
