"Sum Sq","Df","F value","Pr(>F)","metric","time","term"
11.0609550005289,1,1128.80581992549,8.87376815288919e-29,"Shannon","TP1","(Intercept)"
0.215205493892343,2,10.981204334255,0.000189151317773773,"Shannon","TP1","species"
0.121642667172161,2,6.20701153962877,0.00483018652427716,"Shannon","TP1","treat.rn"
0.00303826884852476,1,0.310065049405686,0.581085776616832,"Shannon","TP1","timepoint"
0.190769333040105,4,4.86715508264607,0.00305469745935875,"Shannon","TP1","species:treat.rn"
0.132251549343722,2,6.74834671084992,0.00324394619827118,"Shannon","TP1","species:timepoint"
0.0619834901615563,2,3.16280666679837,0.054273312839667,"Shannon","TP1","treat.rn:timepoint"
0.12103885842869,4,3.08810061664905,0.0276683456011828,"Shannon","TP1","species:treat.rn:timepoint"
0.352757199679679,36,NA,NA,"Shannon","TP1","Residuals"
11.0609550005289,1,1128.80581992549,8.87376815288919e-29,"Shannon","TP2","(Intercept)"
0.215205493892343,2,10.981204334255,0.000189151317773773,"Shannon","TP2","species"
0.121642667172161,2,6.20701153962877,0.00483018652427716,"Shannon","TP2","treat.rn"
0.00303826884852476,1,0.310065049405686,0.581085776616832,"Shannon","TP2","timepoint"
0.190769333040105,4,4.86715508264607,0.00305469745935875,"Shannon","TP2","species:treat.rn"
0.132251549343722,2,6.74834671084992,0.00324394619827118,"Shannon","TP2","species:timepoint"
0.0619834901615563,2,3.16280666679837,0.054273312839667,"Shannon","TP2","treat.rn:timepoint"
0.12103885842869,4,3.08810061664905,0.0276683456011828,"Shannon","TP2","species:treat.rn:timepoint"
0.352757199679679,36,NA,NA,"Shannon","TP2","Residuals"
3.28888728830386,1,4.215803426162,0.0473696695231332,"InvSimpson.c","TP1","(Intercept)"
5.97267515658515,2,3.82798530038253,0.0310927649860063,"InvSimpson.c","TP1","species"
8.31677680769189,2,5.33035842930546,0.00938252421154604,"InvSimpson.c","TP1","treat.rn"
0.202574287475095,1,0.259666355313216,0.613459223871579,"InvSimpson.c","TP1","timepoint"
6.2353883305725,4,1.99818123753907,0.115623744024986,"InvSimpson.c","TP1","species:treat.rn"
5.4695719241482,2,3.50553820124301,0.0406442775409403,"InvSimpson.c","TP1","species:timepoint"
5.61912210324561,2,3.60138735965962,0.0375176376887522,"InvSimpson.c","TP1","treat.rn:timepoint"
4.22232909615652,4,1.35307992563803,0.269450800994317,"InvSimpson.c","TP1","species:treat.rn:timepoint"
28.0847872659775,36,NA,NA,"InvSimpson.c","TP1","Residuals"
3.28888728830386,1,4.215803426162,0.0473696695231332,"InvSimpson.c","TP2","(Intercept)"
5.97267515658515,2,3.82798530038253,0.0310927649860063,"InvSimpson.c","TP2","species"
8.31677680769189,2,5.33035842930546,0.00938252421154604,"InvSimpson.c","TP2","treat.rn"
0.202574287475095,1,0.259666355313216,0.613459223871579,"InvSimpson.c","TP2","timepoint"
6.2353883305725,4,1.99818123753907,0.115623744024986,"InvSimpson.c","TP2","species:treat.rn"
5.4695719241482,2,3.50553820124301,0.0406442775409403,"InvSimpson.c","TP2","species:timepoint"
5.61912210324561,2,3.60138735965962,0.0375176376887522,"InvSimpson.c","TP2","treat.rn:timepoint"
4.22232909615652,4,1.35307992563803,0.269450800994317,"InvSimpson.c","TP2","species:treat.rn:timepoint"
28.0847872659775,36,NA,NA,"InvSimpson.c","TP2","Residuals"
