"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait"
"RW / control",0.822901316656473,0.0917239132466032,6,0.595536225536812,1.13707033748378,1,-1.74871622644745,0.226052070953343,"plant_height4"
"BS / control",1.10455437479272,0.123118103712961,6,0.799369413986291,1.52625350123124,1,0.892143908099489,0.608335695660365,"plant_height4"
"RW / control",0.971265512271084,0.0265896654054301,6,0.897108719310993,1.05155225338991,1,-1.06498671158407,0.511404246787563,"chlorophyll_content4_mean"
"BS / control",0.981125520354657,0.0268595960397671,6,0.906215908964589,1.06222730937381,1,-0.69603523708635,0.722889194100174,"chlorophyll_content4_mean"
"RW / control",0.896788938726883,0.0605038973808172,6,0.737368521026213,1.09067634119181,1,-1.61463104712375,0.268241125524687,"leaf_number2"
"BS / control",0.915098950109369,0.0617392237791337,6,0.752423597455059,1.11294501039527,1,-1.31505370444564,0.386771791006068,"leaf_number2"
"RW / control",0.795369654348485,0.120495839647741,6,0.512495678596663,1.23437701716954,1,-1.51124328833048,0.305256707658526,"wet_shoot_weight"
"BS / control",0.957241469129341,0.145018877622204,6,0.616797628147079,1.48559460738134,1,-0.28845258275984,0.931772602451315,"wet_shoot_weight"
"RW / control",0.784896716503699,0.130379582956789,6,0.484753475476378,1.27087867698704,1,-1.4580845093593,0.325872788483417,"dry_shoot_weight"
"BS / control",0.958953761543977,0.159292285056156,6,0.592251386654129,1.55270605945644,1,-0.25231650937538,0.94539415362694,"dry_shoot_weight"
"RW / control",1.10489891141545,0.54156325969946,6,0.266538197561156,4.58021257597395,1,0.203518085807075,0.961863820377908,"wet_root_weight"
"BS / control",0.411535569953859,0.20171306392272,6,0.0992760042701869,1.70596637709469,1,-1.81141415004857,0.208448539023218,"wet_root_weight"
"RW / control",1.07049563032988,0.205524275193891,6,0.613319180874865,1.8684576160177,1,0.354819558799385,0.903942653824025,"dry_root_weight"
"BS / control",0.669223632010937,0.128484132036378,6,0.383418370125029,1.16807201881294,1,-2.0919701553867,0.144281728251565,"dry_root_weight"
"RW / control",0.859243791098896,0.137763110285577,6,0.539643772401128,1.36812454863874,1,-0.946185866603929,0.57734414243818,"dry_total_weight"
"BS / control",0.87987766126769,0.141071351975687,6,0.552602771526258,1.40097867526007,1,-0.798178061010992,0.663100595985127,"dry_total_weight"
"RW / control",0.733208706570642,0.0934408369910227,6,0.50659143378456,1.06120035108927,1,-2.4350478582746,0.0916873325565243,"shoot_root_ratio"
"BS / control",1.4329346957794,0.182614603628146,6,0.990048857234334,2.07393991454545,1,2.82267582007986,0.0552988713112683,"shoot_root_ratio"
"RW / control",1.01558193113418,0.0960735856949925,6,0.771833982257821,1.3363063593405,1,0.1634445476002,0.973575478495629,"shoot_moisture"
"BS / control",0.997677671877115,0.0943798509668471,6,0.758226891290455,1.31274787058541,1,-0.0245775915650744,0.998846388661014,"shoot_moisture"
