"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait"
"56Control / Saline Control",1.09111643135795,0.361910978484041,50,0.391064004988084,3.04434837160631,1,0.262901401052841,0.999978127156234,"shoot_root_ratio"
"57Control / Saline Control",1.25858963898369,0.417459947136505,50,0.451087611470494,3.51161911583712,1,0.693396451680515,0.993645970590498,"shoot_root_ratio"
"No treatment / Saline Control",2.493894153776,0.827196481960598,50,0.893829666352135,6.95826988560465,1,2.75512984545543,0.11200186578512,"shoot_root_ratio"
"(10SL1-RW-P) / Saline Control",1.04841136117946,0.129765931477147,50,0.714894097426085,1.53752337053504,1,0.381954843214001,0.999794128503076,"shoot_moisture"
"(11SL1-RW-P) / Saline Control",1.2688364566554,0.157048798579232,50,0.865198267635625,1.86078268295361,1,1.92367181175693,0.497315900331467,"shoot_moisture"
"(12SL1-RW-P) / Saline Control",0.817699937416227,0.101209885715325,50,0.557575852732942,1.19917888189242,1,-1.62602845354198,0.688662451219275,"shoot_moisture"
"(19SL2-RW-P) / Saline Control",1.14338385267276,0.141521044288467,50,0.779654244158974,1.67680307565443,1,1.08255609681018,0.938299686224463,"shoot_moisture"
"(1US-RW-P) / Saline Control",1.24512680988311,0.154114163842978,50,0.849031057743411,1.82601185027346,1,1.77127353405582,0.596213841957272,"shoot_moisture"
"(20SL2-RW-P) / Saline Control",1.08216556246286,0.133943819597207,50,0.737910520324905,1.58702481171419,1,0.637971358276792,0.995991179573365,"shoot_moisture"
"(21SL2-RW-P) / Saline Control",1.0414528686092,0.128904651922678,50,0.710149218221547,1.5273185546139,1,0.328152681452384,0.999916820231473,"shoot_moisture"
"(28US-BS-P) / Saline Control",1.18202857002337,0.146304250508238,50,0.806005427819907,1.73347658976767,1,1.35110980750791,0.840029880639902,"shoot_moisture"
"(29US-BS-P) / Saline Control",0.909536693133459,0.112576876374487,50,0.620197793909877,1.33385994642277,1,-0.766073950672872,0.989104466449042,"shoot_moisture"
"(2US-RW-P) / Saline Control",1.0903013193472,0.134950813711789,50,0.743458156291163,1.59895611731603,1,0.698484242584286,0.993386569937934,"shoot_moisture"
"(30US-BS-P) / Saline Control",1.11893835541206,0.138495330489555,50,0.762985270178518,1.64095309850388,1,0.907948817118214,0.973662969825259,"shoot_moisture"
"(37SL1-BS-P) / Saline Control",1.1881541931813,0.147062442592377,50,0.810182387361568,1.74245998036525,1,1.39287076361185,0.81992943186662,"shoot_moisture"
"(38SL1-BS-P) / Saline Control",1.0249469828885,0.126861654570005,50,0.698894131991613,1.50311223065877,1,0.199079880515435,0.999995960492131,"shoot_moisture"
"(39SL1-BS-P) / Saline Control",1.68175720706821,0.208157597842223,50,1.14676199167117,2.46634203441306,1,4.19991072077027,0.00209447624622972,"shoot_moisture"
"(3US-RW-P) / Saline Control",0.934691676197785,0.115690405976991,50,0.63735055434287,1.37075040352665,1,-0.545660907086604,0.998343722853391,"shoot_moisture"
"(46SL2-BS-P) / Saline Control",1.10223749431665,0.136428200280208,50,0.751597233515492,1.61646083793416,1,0.786451935545138,0.987472067401988,"shoot_moisture"
"(47SL2-BS-P) / Saline Control",1.0595234348137,0.131141315834073,50,0.722471233792049,1.55381952444979,1,0.467135892665956,0.999325829469817,"shoot_moisture"
"(48SL2-BS-P) / Saline Control",1.08638071671334,0.134465545551243,50,0.740784763207984,1.59320644843666,1,0.669379797075369,0.99476582027761,"shoot_moisture"
"55Control / Saline Control",1.04473130870533,0.12931043714079,50,0.712384731456403,1.53212647491442,1,0.35354579698917,0.999870076967679,"shoot_moisture"
"56Control / Saline Control",1.09452871364758,0.135474054664169,50,0.746340745458677,1.60515570439985,1,0.729749115532228,0.99160798140434,"shoot_moisture"
"57Control / Saline Control",1.05938015111067,0.131123581055648,50,0.722373531041638,1.55360939505767,1,0.466043228684297,0.999334984348936,"shoot_moisture"
"No treatment / Saline Control",1.23069689284851,0.152328117168487,50,0.839191539691282,1.8048499900561,1,1.67709540444322,0.656712335220817,"shoot_moisture"
