"treatment","SE","df","null","p.value","trait","amend","spikeFac","amend_spike","emmean","LCL","UCL","stat"
"29US-BS-P",29.9041560099297,48,1,1.46821764787713e-22,"dry_shoot_weight","BS","0","BS-0",111.550183527341,65.0702538732709,191.230903589496,17.5862011591816
"2US-RW-P",28.2558457130189,48,1,2.42911192522144e-22,"dry_shoot_weight","RW","0","RW-0",105.401562711246,61.4835962379144,180.690299555413,17.3747063985556
"30US-BS-P",35.609803444958,48,1,3.20152566734336e-23,"dry_shoot_weight","BS","0","BS-0",132.833714094409,77.4855157179921,227.717340932895,18.2375917073729
"37SL1-BS-P",32.1155428890021,48,1,7.841359766963e-23,"dry_shoot_weight","BS","1","BS-1",119.799224634824,69.8821437519047,205.372266112168,17.8523275599763
"38SL1-BS-P",37.9785130679958,48,1,1.84458346470059e-23,"dry_shoot_weight","BS","1","BS-1",141.669609449059,82.6397336291062,242.864749921942,18.477818670715
"39SL1-BS-P",29.9604548426634,48,1,1.44400909043517e-22,"dry_shoot_weight","BS","1","BS-1",111.760192635163,65.1927578936999,191.590923001216,17.5932172966539
"3US-RW-P",36.2108940718543,48,1,2.77260217141859e-23,"dry_shoot_weight","RW","0","RW-0",135.075936537489,78.7934650103913,231.561191389079,18.3000326157849
"46SL2-BS-P",38.1490248454309,48,1,1.77553579270656e-23,"dry_shoot_weight","BS","2","BS-2",142.305662178991,83.0107604737494,243.95513753431,18.4945288865191
"47SL2-BS-P",13.0182092526768,48,1,3.81469710926991e-19,"dry_shoot_weight","BS","2","BS-2",48.5612645563792,28.3271054620558,83.2487603957086,14.4839390778734
"48SL2-BS-P",32.9623273380718,48,1,6.24846367816703e-23,"dry_shoot_weight","BS","2","BS-2",122.957948147049,71.7247130275134,210.787277834531,17.9494082353485
"55Control",39.9559748238467,48,1,1.19901201351965e-23,"dry_shoot_weight","control","0","control-0",149.046049757564,86.9426117452844,255.510209578435,18.6671577970823
"56Control",28.4854637563501,48,1,2.26003398229591e-22,"dry_shoot_weight","control","0","control-0",106.258096995854,61.9832359658665,182.158659534945,17.4048974169956
"57Control",38.5133141014575,48,1,1.63762802990065e-23,"dry_shoot_weight","control","0","control-0",143.664554680532,83.8034394032295,246.284692114442,18.529980524139
"Saline Control",166.005598441147,48,1,3.96936886235408e-21,"wet_root_weight","saline","0","saline-0",442.373254131274,208.021286921483,940.740723542188,16.2344283051354
"10SL1-RW-P",238.521106528503,48,1,4.67622032914464e-14,"wet_root_weight","RW","1","RW-1",416.106547778289,131.420594613437,1317.4849772462,10.5211409687415
"11SL1-RW-P",48.1362227955124,48,1,5.66415743586924e-10,"wet_root_weight","RW","1","RW-1",83.9749478863569,26.5221435297808,265.883180392194,7.72915986740115
"12SL1-RW-P",209.819905927888,48,1,9.61628735055262e-14,"wet_root_weight","RW","1","RW-1",366.036523901441,115.606778788288,1158.95225378794,10.2974782273011
"19SL2-RW-P",363.465448801837,48,1,4.57630771573931e-15,"wet_root_weight","RW","2","RW-2",634.075345946568,200.262551596325,2007.62219961966,11.2559819282933
"1US-RW-P",115.050631269719,48,1,3.05838447864715e-12,"wet_root_weight","RW","0","RW-0",200.708950642215,63.3907103324246,635.488743644721,9.24923151444743
"20SL2-RW-P",303.601353122762,48,1,1.22492901157788e-14,"wet_root_weight","RW","2","RW-2",529.640805324846,167.278573093779,1676.95944242594,10.9420215764903
"21SL2-RW-P",278.888967659112,48,1,1.95764908495849e-14,"wet_root_weight","RW","2","RW-2",486.529377777376,153.662518568385,1540.4591675692,10.7939081414408
"28US-BS-P",177.210719997004,48,1,2.50971353912863e-13,"wet_root_weight","BS","0","BS-0",309.148913488067,97.6397373500296,978.833549789589,10.0028100771993
"29US-BS-P",58.1842978251957,48,1,1.78821621188045e-10,"wet_root_weight","BS","0","BS-0",101.504087647911,32.0584418236326,321.384297649792,8.05988829423924
"2US-RW-P",212.666910332007,48,1,8.91179062472467e-14,"wet_root_weight","RW","0","RW-0",371.00320039959,117.175424083884,1174.67784548577,10.3209902115227
"30US-BS-P",57.1249923159684,48,1,1.99893732282678e-10,"wet_root_weight","BS","0","BS-0",99.6561004198526,31.474784628988,315.533163068734,8.02783468927735
"37SL1-BS-P",262.134551046193,48,1,2.76115861195553e-14,"wet_root_weight","BS","1","BS-1",457.300843001952,144.431153572148,1447.91518891963,10.6858245454451
"38SL1-BS-P",272.309369510944,48,1,2.23467177186828e-14,"wet_root_weight","BS","1","BS-1",475.051090127912,150.037285088905,1504.11638079157,10.7522576788012
"39SL1-BS-P",169.495791905994,48,1,3.2372509308662e-13,"wet_root_weight","BS","1","BS-1",295.690011921533,93.3889586584618,936.219703122624,9.92515867365447
"3US-RW-P",465.884774077427,48,1,1.20150093659746e-15,"wet_root_weight","RW","0","RW-0",812.748640257797,256.693652489346,2573.34120199297,11.6890679415765
"46SL2-BS-P",255.515832905973,48,1,3.18367559997151e-14,"wet_root_weight","BS","2","BS-2",445.754309463984,140.784365720849,1411.35632062792,10.6412107938423
"47SL2-BS-P",71.2210735539352,48,1,5.27790383777043e-11,"wet_root_weight","BS","2","BS-2",124.247096942132,39.2414573774709,393.393674196473,8.41258498430665
"48SL2-BS-P",186.427692645591,48,1,1.87965506908628e-13,"wet_root_weight","BS","2","BS-2",325.228172575825,102.718114033933,1029.74402549942,10.0912644495212
"55Control",188.417409873575,48,1,1.76947290532512e-13,"wet_root_weight","control","0","control-0",328.699288314139,103.814410395374,1040.73434243611,10.1097848907181
"56Control",141.127606873889,48,1,9.29781841058728e-13,"wet_root_weight","control","0","control-0",246.200942747545,77.7586280798229,779.526410208217,9.60562478955666
"57Control",317.809445878518,48,1,9.52627783369752e-15,"wet_root_weight","control","0","control-0",554.427208981767,175.106962058849,1755.43865558015,11.0218100973243
"Saline Control",11.3203465620442,48,1,1.0061681023079e-27,"dry_root_weight","saline","0","saline-0",63.2875536975278,44.1698845340364,90.6797582848799,23.1880772361801
"10SL1-RW-P",15.1613122989989,48,1,2.13682254260912e-19,"dry_root_weight","RW","1","RW-1",55.4890113785661,32.0346289233388,96.1156875311082,14.6988684891345
"11SL1-RW-P",6.85130827543917,48,1,8.78071294024466e-16,"dry_root_weight","RW","1","RW-1",25.0751594160494,14.4762612836348,43.4341165457616,11.7917766188409
"12SL1-RW-P",15.2352001245303,48,1,2.0372217583253e-19,"dry_root_weight","RW","1","RW-1",55.7594340379503,32.190747933763,96.5841020727438,14.7166615298782
"19SL2-RW-P",18.9169740825576,48,1,2.52497350612732e-20,"dry_root_weight","RW","2","RW-2",69.234388779419,39.9700390794776,119.924841207396,15.5088525799084
"1US-RW-P",10.5014424325724,48,1,8.78008404914773e-18,"dry_root_weight","RW","0","RW-0",38.4343153904194,22.1887000843242,66.5742740185953,13.3548245951319
"20SL2-RW-P",15.6506562770108,48,1,1.56534152816118e-19,"dry_root_weight","RW","2","RW-2",57.2799654218864,33.0685732444064,99.2179013737005,14.8151288076965
"21SL2-RW-P",14.6389604150344,48,1,3.01820307460019e-19,"dry_root_weight","RW","2","RW-2",53.5772514292087,30.9309415617035,92.8042188752097,14.5705504836474
"28US-BS-P",9.68446208269083,48,1,2.05307793466796e-17,"dry_root_weight","BS","0","BS-0",35.4442422993428,20.462486559401,61.3949975496672,13.0584091113796
"29US-BS-P",7.21461734633232,48,1,4.94673852761254e-16,"dry_root_weight","BS","0","BS-0",26.404837267884,15.2439040206895,45.7373275374308,11.9808823626084
"2US-RW-P",14.2500845753769,48,1,3.94000213112411e-19,"dry_root_weight","RW","0","RW-0",52.1540015504351,30.1092783062411,90.3389264285013,14.4720123801993
"30US-BS-P",10.4902888037079,48,1,8.87785628851191e-18,"dry_root_weight","BS","0","BS-0",38.3934941325512,22.1651333669598,66.5035651851091,13.3509353245186
"37SL1-BS-P",13.1661149751211,48,1,8.68047051787193e-19,"dry_root_weight","BS","1","BS-1",48.1867723095609,27.8189380491733,83.4670619528724,14.1824537643098
"38SL1-BS-P",14.4989076769006,48,1,3.31909101510982e-19,"dry_root_weight","BS","1","BS-1",53.0646712628852,30.6350214324077,91.9163494777019,14.5353671193646
"39SL1-BS-P",12.1326591487063,48,1,1.98431553676514e-18,"dry_root_weight","BS","1","BS-1",44.4044188443554,25.635329318282,76.9154313730146,13.8832725107976
"3US-RW-P",20.0470624086326,48,1,1.4603598774832e-20,"dry_root_weight","RW","0","RW-0",73.3704083236178,42.3578244810618,127.089077012943,15.7212114747255
"46SL2-BS-P",14.1459344611651,48,1,4.23759996934468e-19,"dry_root_weight","BS","2","BS-2",51.7728216922137,29.8892175228931,89.6786630135343,14.4451648444919
"47SL2-BS-P",7.47388697100111,48,1,3.35108239118692e-16,"dry_root_weight","BS","2","BS-2",27.3537402961735,15.7917198069197,47.3809766978414,12.1100992759736
"48SL2-BS-P",15.3162555991702,48,1,1.93388646418239e-19,"dry_root_weight","BS","2","BS-2",56.056089635163,32.362011608113,97.0979561850747,14.7360816384279
"55Control",11.6377776585003,48,1,3.0364043850144e-18,"dry_root_weight","control","0","control-0",42.5931980146854,24.5896846809888,73.7781122716393,13.730857761579
"56Control",13.3893324032176,48,1,7.33299837900718e-19,"dry_root_weight","control","0","control-0",49.0037276075766,28.2905784545203,84.8821569095162,14.2439834782038
"57Control",15.693993358403,48,1,1.52361823534542e-19,"dry_root_weight","control","0","control-0",57.4385751619312,33.1601409988091,99.4926383681937,14.8252491850466
"Saline Control",28.773747045391,48,1,1.4071917364665e-35,"dry_total_weight","saline","0","saline-0",189.648978073216,139.786912627017,257.296868557235,34.5711684393532
"10SL1-RW-P",50.6002614853543,48,1,9.11786293468058e-28,"dry_total_weight","RW","1","RW-1",218.332533351121,137.007963404615,347.929375307483,23.2398647793198
"11SL1-RW-P",17.3966247893125,48,1,1.29563264477433e-23,"dry_total_weight","RW","1","RW-1",75.0638247810016,47.104027974002,119.619871868767,18.6329835301351
"12SL1-RW-P",47.8235460360394,48,1,1.45127492380901e-27,"dry_total_weight","RW","1","RW-1",206.351422964575,129.489580742208,328.836571370761,22.9963405584132
"19SL2-RW-P",37.8166766216319,48,1,1.049610494119e-26,"dry_total_weight","RW","2","RW-2",163.173283444608,102.394448063482,260.028946233367,21.9833521900902
"1US-RW-P",27.1447206492128,48,1,1.95764397051156e-25,"dry_total_weight","RW","0","RW-0",117.125395254459,73.4984915920303,186.648159933133,20.5526877222355
"20SL2-RW-P",46.3374887708092,48,1,1.88552589054936e-27,"dry_total_weight","RW","2","RW-2",199.939308918159,125.465852930628,318.618383543562,22.860134610739
"21SL2-RW-P",45.994924455473,48,1,2.00556899248049e-27,"dry_total_weight","RW","2","RW-2",198.461195315432,124.53830754249,316.262897924737,22.8281172436366
"28US-BS-P",39.9598299073653,48,1,6.5518166530828e-27,"dry_total_weight","BS","0","BS-0",172.420668191214,108.197364062784,274.765351975247,22.2212061827386
"29US-BS-P",32.4904125831824,48,1,3.92828007585144e-26,"dry_total_weight","BS","0","BS-0",140.191253576082,87.9727718301597,223.405346567645,21.3283358076264
"2US-RW-P",36.6972646079796,48,1,1.35943872007296e-26,"dry_total_weight","RW","0","RW-0",158.343188626321,99.3634684657667,252.331825483616,21.8536997210467
"30US-BS-P",39.892944305438,48,1,6.64591533148546e-27,"dry_total_weight","BS","0","BS-0",172.13206685824,108.016261044101,274.305443962669,22.213977845256
"37SL1-BS-P",38.9626370273942,48,1,8.12763983416816e-27,"dry_total_weight","BS","1","BS-1",168.11793059001,105.497311501871,267.908614764712,22.1121633015073
"38SL1-BS-P",45.2237760649159,48,1,2.30905380175292e-27,"dry_total_weight","BS","1","BS-1",195.133805757402,122.450305082196,310.960451456678,22.7551613955681
"39SL1-BS-P",36.2045706762597,48,1,1.52781134945288e-26,"dry_total_weight","BS","1","BS-1",156.217288262935,98.0294241311085,248.944042755839,21.7953765602446
"3US-RW-P",48.4214968243907,48,1,1.30964869474623e-27,"dry_total_weight","RW","0","RW-0",208.931490865564,131.10862414877,332.948104357915,23.0499558100863
"46SL2-BS-P",45.1219530717327,48,1,2.35290679082788e-27,"dry_total_weight","BS","2","BS-2",194.694454825164,122.174603721881,310.260312576557,22.7454353991661
"47SL2-BS-P",18.5652492670998,48,1,6.87970732482617e-24,"dry_total_weight","BS","2","BS-2",80.1062639953777,50.2682578610899,127.655379445012,18.9135148103614
"48SL2-BS-P",41.7435055863392,48,1,4.52384748317517e-27,"dry_total_weight","BS","2","BS-2",180.11696102124,113.026939345143,287.029975645545,22.4096321707966
"55Control",44.437371157469,48,1,2.6736135805918e-27,"dry_total_weight","control","0","control-0",191.740586618953,120.320993264076,305.553100582296,22.6794696102485
"56Control",36.4474814147505,48,1,1.44201169366157e-26,"dry_total_weight","control","0","control-0",157.265411639298,98.6871421861697,250.614306486058,21.8242299030431
"57Control",46.9453077643083,48,1,1.69212162880359e-27,"dry_total_weight","control","0","control-0",202.561956643171,127.111616015114,322.797770694938,22.9163654472839
"Saline Control",0.294453930642263,48,1,2.75946333545601e-05,"shoot_root_ratio","saline","0","saline-0",1.98729262418788,1.47529906520295,2.67697043081108,4.6350862280394
"10SL1-RW-P",0.657112460369468,48,1,2.15328091924704e-05,"shoot_root_ratio","RW","1","RW-1",2.90332580695435,1.84188233018236,4.57645996337483,4.70928503045716
"11SL1-RW-P",0.45109632949943,48,1,0.00374793160582354,"shoot_root_ratio","RW","1","RW-1",1.99308291022468,1.26442033689022,3.14166054683964,3.04723092502425
"12SL1-RW-P",0.608759856403652,48,1,6.59066548277882e-05,"shoot_root_ratio","RW","1","RW-1",2.68968906835337,1.70635026796448,4.23970823590026,4.37158789213539
"19SL2-RW-P",0.258179901129612,48,1,0.563485945559636,"shoot_root_ratio","RW","2","RW-2",1.14071854514076,0.723676732033792,1.79809401301476,0.581707327918009
"1US-RW-P",0.455060786361091,48,1,0.00336468170855833,"shoot_root_ratio","RW","0","RW-0",2.01059910510941,1.2755326859669,3.16927100805919,3.08589156419487
"20SL2-RW-P",0.558796537202722,48,1,0.000222744168620853,"shoot_root_ratio","RW","2","RW-2",2.468935692355,1.56630338049302,3.89173868159931,3.9932108360046
"21SL2-RW-P",0.606912205234282,48,1,6.88653836897467e-05,"shoot_root_ratio","RW","2","RW-2",2.68152557481793,1.70117131269206,4.22684026867568,4.35815746121759
"28US-BS-P",0.864658792949032,48,1,3.29763182943978e-07,"shoot_root_ratio","BS","0","BS-0",3.8203296074578,2.42363346979325,6.0219164702589,5.92202153539713
"29US-BS-P",0.956160331186504,48,1,6.89209947836646e-08,"shoot_root_ratio","BS","0","BS-0",4.22461166473534,2.68011173893054,6.65917896577687,6.36646204863079
"2US-RW-P",0.457407564250576,48,1,0.00315688733749132,"shoot_root_ratio","RW","0","RW-0",2.02096789465558,1.28211069047632,3.18561514350311,3.10861851664501
"30US-BS-P",0.783059216566441,48,1,1.52336936138623e-06,"shoot_root_ratio","BS","0","BS-0",3.45979747599447,2.19491034102324,5.45361619159229,5.48404938293925
"37SL1-BS-P",0.562691167704785,48,1,0.00020211847179492,"shoot_root_ratio","BS","1","BS-1",2.48614337281632,1.57722000669778,3.91886283711267,4.02389819808765
"38SL1-BS-P",0.604247895616274,48,1,7.33784135718509e-05,"shoot_root_ratio","BS","1","BS-1",2.66975383202168,1.69370326863034,4.20828468339581,4.33871864090585
"39SL1-BS-P",0.56964577319496,48,1,0.000170080779645914,"shoot_root_ratio","BS","1","BS-1",2.51687096788499,1.59671372465062,3.96729818951636,4.07817176337613
"3US-RW-P",0.416678391867705,48,1,0.00963397750749379,"shoot_root_ratio","RW","0","RW-0",1.84101383137606,1.16794706178362,2.90195680799262,2.69656642584116
"46SL2-BS-P",0.622105832789943,48,1,4.8115260890019e-05,"shoot_root_ratio","BS","2","BS-2",2.74865571409242,1.74375896064262,4.3326562931775,4.46740493737664
"47SL2-BS-P",0.401806720335033,48,1,0.0145223371855267,"shoot_root_ratio","BS","2","BS-2",1.77530619325111,1.12626185465652,2.79838304632713,2.53598960047929
"48SL2-BS-P",0.496452539288991,48,1,0.00110829108050024,"shoot_root_ratio","BS","2","BS-2",2.19348065388279,1.39155352399865,3.4575438860106,3.47053575714063
"55Control",0.791998116761694,48,1,1.27965379484265e-06,"shoot_root_ratio","control","0","control-0",3.49929229794333,2.2199660252689,5.51587116517349,5.53420025065581
"56Control",0.490768686371613,48,1,0.00128841106623544,"shoot_root_ratio","control","0","control-0",2.16836763616786,1.37562171797265,3.41795869035099,3.41965902445016
"57Control",0.566095758484927,48,1,0.000185715886212075,"shoot_root_ratio","control","0","control-0",2.50118590643157,1.58676305446759,3.94257411080885,4.05055084418278
"Saline Control",0.464621042147298,48,1,3.98118081831159e-33,"shoot_moisture","saline","0","saline-0",7.19739197838111,6.32129474135706,8.19491155056373,30.5746535423708
"10SL1-RW-P",0.744078893964615,48,1,2.2091759512966e-25,"shoot_moisture","RW","1","RW-1",7.54582752099665,6.18873132264747,9.20051461407965,20.495243227185
"11SL1-RW-P",0.90051907318899,48,1,4.34337582213042e-27,"shoot_moisture","RW","1","RW-1",9.1323133350091,7.48989205323595,11.1348930339728,22.4304238672417
"12SL1-RW-P",0.580338298073303,48,1,5.88904977978648e-23,"shoot_moisture","RW","1","RW-1",5.88530697028229,4.82685079787919,7.17586674725308,17.9747997990297
"19SL2-RW-P",0.811482805295659,48,1,3.57445404471072e-26,"shoot_moisture","RW","2","RW-2",8.2293817694374,6.74935023108168,10.0339620835316,21.3746458737292
"1US-RW-P",0.883691854026873,48,1,6.32427371100134e-27,"shoot_moisture","RW","0","RW-0",8.96166571351994,7.34993493424448,10.9268249419046,22.2391318190885
"20SL2-RW-P",0.768034938020982,48,1,1.12734179925285e-25,"shoot_moisture","RW","2","RW-2",7.78876973855045,6.38798105465963,9.49673042563392,20.81659806312
"21SL2-RW-P",0.739140310077547,48,1,2.54740005301116e-25,"shoot_moisture","RW","2","RW-2",7.49574452238983,6.14765561274717,9.13944916309806,20.4277101429946
"28US-BS-P",0.838909748200461,48,1,1.80711495183554e-26,"shoot_moisture","BS","0","BS-0",8.50752294810347,6.97746848845492,10.373095461809,21.7117375399439
"29US-BS-P",0.645516713864699,48,1,5.02176196104614e-24,"shoot_moisture","BS","0","BS-0",6.54629209920205,5.36895958048354,7.9817960268972,19.054224452995
"2US-RW-P",0.773809050366787,48,1,9.62778328408901e-26,"shoot_moisture","RW","0","RW-0",7.8473259698879,6.43600610983164,9.56812716252813,20.8925545224281
"30US-BS-P",0.794133338056304,48,1,5.59571263682554e-26,"shoot_moisture","BS","0","BS-0",8.05343794354575,6.60504941539351,9.81943640866438,21.1554768341666
"37SL1-BS-P",0.843257227704186,48,1,1.62652390543576e-26,"shoot_moisture","BS","1","BS-1",8.55161145908297,7.01362780273934,10.4268519237015,21.7641563661044
"38SL1-BS-P",0.727425746838604,48,1,3.59075071335035e-25,"shoot_moisture","BS","1","BS-1",7.3769451929076,6.05022201392313,8.99459891784626,20.2656964980601
"39SL1-BS-P",1.19357733890308,48,1,2.13770007676444e-29,"shoot_moisture","BS","1","BS-1",12.1042658317374,9.92734711760683,14.7585502541271,25.2875847850654
"3US-RW-P",0.663369717627596,48,1,2.71835688471358e-24,"shoot_moisture","RW","0","RW-0",6.72734237252553,5.51744846316382,8.2025479167278,19.330889407372
"46SL2-BS-P",0.782280396823243,48,1,7.66059613963331e-26,"shoot_moisture","BS","2","BS-2",7.93323529986555,6.50646488454666,9.67287512340397,21.0029725692173
"47SL2-BS-P",0.75196535892062,48,1,1.7644670536718e-25,"shoot_moisture","BS","2","BS-2",7.62580547063491,6.25432545936344,9.29803053163852,20.6021634474086
"48SL2-BS-P",0.771026518834318,48,1,1.03863093726863e-25,"shoot_moisture","BS","2","BS-2",7.8191078559405,6.41286294559068,9.53372123832268,20.8560222920398
"55Control",0.741467085779324,48,1,2.38164707778043e-25,"shoot_moisture","control","0","control-0",7.51934074083934,6.16700811660552,9.16821967926446,20.459583869872
"56Control",0.776809318192807,48,1,8.87561137831738e-26,"shoot_moisture","control","0","control-0",7.87775218371491,6.46096025329924,9.60522538988459,20.9317985458625
"57Control",0.751863667558607,48,1,1.76955133538535e-25,"shoot_moisture","control","0","control-0",7.62477420166013,6.25347966125998,9.2967731208049,20.6007919231752
