"metric","species","timepoint","trait","r","p_value","p_adj","p_cat","tp_species","trait_abbrev"
"InvSimpson","P","TP2","indirect.chlorophyll_content2_mean",-0.294970305037639,0.19426547021846,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk2)"
"InvSimpson","P","TP2","indirect.chlorophyll_content3_mean",-0.10133897349511,0.670750930006451,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk3)"
"InvSimpson","P","TP2","indirect.leaf_num",-0.171150691280634,0.458217540653522,0.993312764557125,"ns","TP2_P","Leaves (wk2)"
"InvSimpson","P","TP2","indirect.plant_height4",0.128666076104097,0.578322518368253,0.993312764557125,"ns","TP2_P","Plant height (wk4)"
"InvSimpson","P","TP2","indirect.chlorophyll_content4_mean",-0.00788021888146566,0.972956246823824,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk4)"
"InvSimpson","P","TP2","indirect.leaf_num2",0.0236682085457885,0.918888675651218,0.993312764557125,"ns","TP2_P","Leaves (wk4)"
"InvSimpson","P","TP2","indirect.wet_shoot_weight",0.171370675477245,0.457631261592055,0.993312764557125,"ns","TP2_P","Wet shoot weight"
"InvSimpson","P","TP2","indirect.dry_shoot_weight",0.102282773022515,0.659084385553158,0.993312764557125,"ns","TP2_P","Dry shoot weight"
"InvSimpson","P","TP2","indirect.wet_root_weight",0.0872159295235372,0.706977885927422,0.993312764557125,"ns","TP2_P","Wet root weight"
"InvSimpson","P","TP2","indirect.dry_root_weight",0.00795989865184824,0.972682895238505,0.993312764557125,"ns","TP2_P","Dry root weight"
"InvSimpson","P","TP2","indirect.dry_total_weight",0.089082550475833,0.7009818502682,0.993312764557125,"ns","TP2_P","Dry total weight"
"InvSimpson","P","TP2","indirect.shoot_root_ratio",0.0521161440499523,0.822481842508641,0.993312764557125,"ns","TP2_P","Shoot:root"
"InvSimpson","P","TP2","indirect.shoot_moisture",0.0798442234430342,0.73081815420852,0.993312764557125,"ns","TP2_P","Shoot moisture"
"InvSimpson","P","TP1","indirect.plant_height1",0.0248290347640205,0.914924063921174,0.993312764557125,"ns","TP1_P","Plant height (wk1)"
"InvSimpson","P","TP1","indirect.plant_height2",0.211184660216054,0.358129995815089,0.993312764557125,"ns","TP1_P","Plant height (wk2)"
"InvSimpson","P","TP1","indirect.plant_height3",0.263105034643732,0.249191476926066,0.993312764557125,"ns","TP1_P","Plant height (wk3)"
"InvSimpson","P","TP1","indirect.chlorophyll_content1_mean",0.203774915451365,0.40272434546348,0.993312764557125,"ns","TP1_P","Leaf Chloro (wk1)"
"InvSimpson","P","TP1","indirect.chlorophyll_content2_mean",0.0747572241265766,0.747411543484673,0.993312764557125,"ns","TP1_P","Leaf Chloro (wk2)"
"InvSimpson","P","TP1","indirect.chlorophyll_content3_mean",-0.0615905754480064,0.796445182876064,0.993312764557125,"ns","TP1_P","Leaf Chloro (wk3)"
"InvSimpson","P","TP1","indirect.leaf_num",-0.122512288262805,0.596774788093117,0.993312764557125,"ns","TP1_P","Leaves (wk2)"
"InvSimpson","P","TP1","indirect.plant_height4",0.211619598394624,0.357117819822202,0.993312764557125,"ns","TP1_P","Plant height (wk4)"
"InvSimpson","P","TP1","indirect.chlorophyll_content4_mean",0.265557747084985,0.244642971501882,0.993312764557125,"ns","TP1_P","Leaf Chloro (wk4)"
"InvSimpson","P","TP1","indirect.leaf_num2",-0.0860744757732057,0.710652780990066,0.993312764557125,"ns","TP1_P","Leaves (wk4)"
"InvSimpson","P","TP1","indirect.wet_shoot_weight",0.228036679339492,0.320131921958564,0.993312764557125,"ns","TP1_P","Wet shoot weight"
"InvSimpson","P","TP1","indirect.dry_shoot_weight",0.168308832367174,0.465826035881223,0.993312764557125,"ns","TP1_P","Dry shoot weight"
"InvSimpson","P","TP1","indirect.wet_root_weight",0.0618101188128695,0.790116386477735,0.993312764557125,"ns","TP1_P","Wet root weight"
"InvSimpson","P","TP1","indirect.dry_root_weight",-0.0346063197188489,0.881617275004046,0.993312764557125,"ns","TP1_P","Dry root weight"
"InvSimpson","P","TP1","indirect.dry_total_weight",0.130152554043323,0.573902553822679,0.993312764557125,"ns","TP1_P","Dry total weight"
"InvSimpson","P","TP1","indirect.shoot_root_ratio",0.297805673369417,0.18981100218931,0.993312764557125,"ns","TP1_P","Shoot:root"
"InvSimpson","P","TP1","indirect.shoot_moisture",0.0693622392195772,0.765127661773608,0.993312764557125,"ns","TP1_P","Shoot moisture"
