"metric","species","timepoint","trait","r","p_value","p_adj","p_cat","tp_species","trait_abbrev"
"InvSimpson","P","TP2","direct.survival_perc.corr",0.467718255039366,0.0325108365147427,0.780260076353825,"ns","TP2_P","Survival (%)"
"InvSimpson","P","TP1","direct.shoot_root_ratio",-0.192050205254236,0.40428142558288,0.808562851165759,"ns","TP1_P","Shoot:root"
"InvSimpson","P","TP1","direct.dry_total_weight",0.221295103864966,0.335031324763254,0.808562851165759,"ns","TP1_P","Total weight"
"InvSimpson","P","TP1","direct.per_plant_weight",-0.202483744972415,0.378724934820147,0.808562851165759,"ns","TP1_P","Per plant weight"
"InvSimpson","P","TP1","direct.shoot_moisture",-0.219816787022243,0.338352447180989,0.808562851165759,"ns","TP1_P","Shoot moisture"
"InvSimpson","P","TP1","direct.germination_perc",0.0357105765860089,0.877866604784753,0.931972465267248,"ns","TP1_P","Germination"
"InvSimpson","P","TP1","direct.survival_perc.corr",0.0751981083091006,0.745969034048696,0.882738844732058,"ns","TP1_P","Survival (%)"
"InvSimpson","R","TP2","direct.shoot_root_ratio",-0.0194265382604346,0.933390484460656,0.959461759849238,"ns","TP2_R","Shoot:root"
"InvSimpson","R","TP2","direct.dry_total_weight",0.130171344064549,0.573846776897812,0.870564357099563,"ns","TP2_R","Total weight"
"InvSimpson","R","TP2","direct.per_plant_weight",0.130171344064549,0.573846776897812,0.870564357099563,"ns","TP2_R","Per plant weight"
"InvSimpson","R","TP2","direct.shoot_moisture",0.120914143829445,0.601606767420082,0.870564357099563,"ns","TP2_R","Shoot moisture"
"InvSimpson","R","TP2","direct.germination_perc",-0.279893331180551,0.219132656744654,0.808562851165759,"ns","TP2_R","Germination"
"InvSimpson","R","TP2","direct.survival_perc.corr",-0.287301294437022,0.206664832198471,0.808562851165759,"ns","TP2_R","Survival (%)"
"InvSimpson","R","TP1","direct.shoot_root_ratio",0.300986723717184,0.184896302839596,0.808562851165759,"ns","TP1_R","Shoot:root"
