"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","treat","eff","LCL","UCL","Amendment","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"L / R",NA,"TP1",0.08734976024987756,35.407030326977136,0.8785122662793129,1.3086682761159283,1,0.8560977167365217,0.6710560297694204,"BS",0.10061689078295061,-0.1868656647985145,0.38809944636441573,"BS","Shannon",NA,0.671,", p > 0.1",0.856,40,"t = 0.856, df = 40, p > 0.1","0.101 [-0.187 to 0.388]"
"L / P",NA,"TP1",0.09539282554537555,35.407030326977136,0.9594046636982323,1.42916894337405,1,1.9373311749380293,0.14316580685738478,"BS",0.22769391323950627,-0.0597886423419588,0.5151764688209715,"BS","Shannon",NA,0.143,", p > 0.1",1.94,40,"t = 1.94, df = 40, p > 0.1","0.228 [-0.0598 to 0.515]"
"R / P",NA,"TP1",0.08896660348203966,35.407030326977136,0.8947735199798583,1.3328917134708835,1,1.0812334582015077,0.5317711601044195,"BS",0.1270770224565558,-0.1604055331249095,0.41455957803802096,"BS","Shannon",NA,0.532,", p > 0.1",1.08,40,"t = 1.08, df = 40, p > 0.1","0.127 [-0.16 to 0.415]"
"L / R",NA,"TP2",0.08771600690847418,35.407030326977065,0.8821957587255516,1.314155359102389,1,0.907458312654487,0.6392242148965528,"control",0.10665328519096837,-0.18082927039049235,0.3941358407724291,"control","Shannon",NA,0.639,", p > 0.1",0.907,40,"t = 0.907, df = 40, p > 0.1","0.107 [-0.181 to 0.394]"
"L / P",NA,"TP2",0.08090561170689793,35.407030326977136,0.8137008286229456,1.2121224728916091,1,-0.08463461694422647,0.996059110290411,"control",-0.009947079454897036,-0.29742963503636216,0.27753547612656804,"control","Shannon",NA,0.996,", p > 0.1",-0.0846,40,"t = -0.0846, df = 40, p > 0.1","-0.00995 [-0.297 to 0.278]"
"R / P",NA,"TP2",0.07514027978839942,35.407030326977136,0.7557165274058204,1.1257466550137558,1,-0.9920929295987135,0.586615124462923,"control",-0.11660036464586537,-0.4040829202273304,0.17088219093559953,"control","Shannon",NA,0.587,", p > 0.1",-0.992,40,"t = -0.992, df = 40, p > 0.1","-0.117 [-0.404 to 0.171]"
"L / R",NA,"TP2",0.08289035934039651,35.407030326977065,0.8336622473665077,1.241857829424074,1,0.2128608242079381,0.9753484986200363,"RW",0.02501746457512236,-0.2624650910063386,0.31250002015658296,"RW","Shannon",NA,0.975,", p > 0.1",0.213,40,"t = 0.213, df = 40, p > 0.1","0.025 [-0.262 to 0.313]"
"L / P",NA,"TP2",0.08539203692203025,35.407030326977136,0.8588226420310606,1.2793377959264367,1,0.5778513784604953,0.8327589749222515,"RW",0.06791468765618851,-0.21956786792527655,0.3553972432376536,"RW","Shannon",NA,0.833,", p > 0.1",0.578,40,"t = 0.578, df = 40, p > 0.1","0.0679 [-0.22 to 0.355]"
"R / P",NA,"TP2",0.08392403688836725,35.407030326977136,0.8440583652570643,1.2573443174338086,1,0.36499055425255705,0.9293466851056451,"RW",0.04289722308106645,-0.24458533250039877,0.33037977866253154,"RW","Shannon",NA,0.929,", p > 0.1",0.365,40,"t = 0.365, df = 40, p > 0.1","0.0429 [-0.245 to 0.33]"
"L / R",NA,"TP2",0.08379047615375801,35.407030326977065,0.8427150903206295,1.2553433194251344,1,0.3454397230607854,0.9364585708423956,"BS",0.04059942014539551,-0.24688313543606533,0.32808197572685605,"BS","Shannon",NA,0.936,", p > 0.1",0.345,40,"t = 0.345, df = 40, p > 0.1","0.0406 [-0.247 to 0.328]"
"L / P",NA,"TP2",0.08361500853341268,35.407030326977065,0.8409503406937587,1.2527144752522987,1,0.3197070771937303,0.9453023005870231,"BS",0.03757507050849687,-0.24990748507296393,0.3250576260899576,"BS","Shannon",NA,0.945,", p > 0.1",0.32,40,"t = 0.32, df = 40, p > 0.1","0.0376 [-0.25 to 0.325]"
"R / P",NA,"TP2",0.08129476784094963,35.407030326977136,0.8176147310341745,1.21795278410978,1,-0.025732645867055065,0.9996349979950124,"BS",-0.0030243496368986067,-0.2905069052183637,0.28445820594456656,"BS","Shannon",NA,1,", p > 0.1",-0.0257,40,"t = -0.0257, df = 40, p > 0.1","-0.00302 [-0.291 to 0.284]"
"TP2 / TP1","L",NA,0.07256348846457158,17.999999999999993,0.8137372606148069,1.1199353214720105,1,-0.6107414429114111,0.5490057922142546,"control",-0.06697481313533837,-0.2973650424053498,0.16341541613467286,"control","Shannon",NA,0.549,", p > 0.1",-0.611,20,"t = -0.611, df = 20, p > 0.1","-0.067 [-0.297 to 0.163]"
"TP2 / TP1","L",NA,0.09588179925453057,17.999999999999993,1.0752321080359073,1.479827058257617,1,3.0552053567226203,0.006814620047213992,"RW",0.33503835417021666,0.10464812490020531,0.5654285834402281,"RW","Shannon",NA,0.00681,", p = 0.00681**",3.06,20,"t = 3.06, df = 20, p = 0.00681**","0.335 [0.105 to 0.565]"
"TP2 / TP1","L",NA,0.07763774379925131,18.00000000000002,0.8706406802694221,1.1982507098267225,1,0.27848943977255547,0.7838106940564398,"BS",0.030539565319194373,-0.1998506639508171,0.26092979458920545,"BS","Shannon",NA,0.784,", p > 0.1",0.278,20,"t = 0.278, df = 20, p > 0.1","0.0305 [-0.2 to 0.261]"
"TP2 / TP1","R",NA,0.07252438592394377,17.999999999999993,0.8132987591732852,1.1193318180113168,1,-0.6178327171850533,0.5444239859756488,"control",-0.0677524527975572,-0.2981426820675686,0.16263777647245414,"control","Shannon",NA,0.544,", p > 0.1",-0.618,20,"t = -0.618, df = 20, p > 0.1","-0.0678 [-0.298 to 0.163]"
"TP2 / TP1","R",NA,0.07875924679065968,17.999999999999993,0.8832173740214808,1.2155598392496831,1,0.4671711931054422,0.6459828994442997,"RW",0.051230686444490324,-0.17915954282552107,0.28162091571450176,"RW","Shannon",NA,0.646,", p > 0.1",0.467,20,"t = 0.467, df = 20, p > 0.1","0.0512 [-0.179 to 0.282]"
"TP2 / TP1","R",NA,0.08093566976229508,18.00000000000002,0.9076240901862146,1.2491504646726548,1,0.8257870715405349,0.4197358871039132,"BS",0.09055703595674937,-0.1398331933132618,0.3209472652267607,"BS","Shannon",NA,0.42,", p > 0.1",0.826,20,"t = 0.826, df = 20, p > 0.1","0.0906 [-0.14 to 0.321]"
"TP2 / TP1","P",NA,0.10494353078864382,18.00000000000002,1.1768516518454137,1.6196846289655786,1,4.243264671564783,4.889172701751188e-4,"control",0.46532270203752496,0.23493247276751383,0.6957129313075363,"control","Shannon",NA,4.89e-4,", p < 0.001",4.24,20,"t = 4.24, df = 20, p < 0.001","0.465 [0.235 to 0.696]"
