"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend","asymp.LCL","asymp.UCL","z.ratio","emmean.bt","LCL.bt","UCL.bt"
"0","lettuce",2.72647548912424,0.142605318338418,18,2.42687283277147,3.02607814547701,19.11903090917,2.09330808846124e-13,"dry_total_weight","RW",NA,NA,NA,15.2789412149805,11.3234164386059,20.6162200177432
"1","lettuce",3.02400766273503,0.142605318338418,18,2.72440500638225,3.3236103190878,21.2054339765837,3.49885372684433e-14,"dry_total_weight","RW",NA,NA,NA,20.5735786493334,15.2473391579255,27.7603937353419
"2","lettuce",2.65526472320676,0.142605318338418,18,2.35566206685399,2.95486737955954,18.6196752978422,3.29805872252931e-13,"dry_total_weight","RW",NA,NA,NA,14.2287522417323,10.54510811763,19.1991763477626
"0","radish",2.26985655207346,0.142605318338418,18,1.97025389572069,2.56945920842623,15.9170539957482,4.75658382418152e-12,"dry_total_weight","RW",NA,NA,NA,9.67801242367915,7.17249732356279,13.0587604634145
"1","radish",1.79943078990698,0.142605318338418,18,1.4998281335542,2.09903344625975,12.6182586377089,2.23839068936153e-10,"dry_total_weight","RW",NA,NA,NA,6.04620492387433,4.48091888455282,8.15828068379112
"2","radish",2.17445362826983,0.142605318338418,18,1.87485097191706,2.47405628462261,15.2480542353239,9.79341282936409e-12,"dry_total_weight","RW",NA,NA,NA,8.79737717065716,6.51984740756546,11.8704994526396
"0","pea",1.84817657588832,0.142605318338418,18,1.54857391953555,2.14777923224109,12.9600816955676,1.44770503029303e-10,"dry_total_weight","RW",NA,NA,NA,6.34823344071912,4.70475603559932,8.5658145742154
"1","pea",1.75028213510591,0.142605318338418,18,1.45067947875314,2.04988479145868,12.2736105181736,3.5074870902103e-10,"dry_total_weight","RW",NA,NA,NA,5.75622648049654,4.2660121952486,7.76700622930094
"2","pea",1.68573648137494,0.142605318338418,18,1.38613382502217,1.98533913772771,11.8209930808786,6.42549270586211e-10,"dry_total_weight","RW",NA,NA,NA,5.39642383483122,3.99935790715002,7.28151640368857
"0","lettuce",2.50022397117271,0.316379020058697,17,1.83272258615324,3.16772535619219,7.90262252759002,4.31050024232436e-07,"dry_total_weight","BS",NA,NA,NA,12.185222793741,6.25088207726975,23.7533923529009
"1","lettuce",2.78593828056114,0.316379020058697,17,2.11843689554166,3.45343966558062,8.80569855752216,9.6507034126279e-08,"dry_total_weight","BS",NA,NA,NA,16.2150249841214,8.31812522195237,31.6089296830722
"2","lettuce",3.07251256449186,0.316379020058697,17,2.40501117947238,3.74001394951134,9.7114927656133,2.3738637835721e-08,"dry_total_weight","BS",NA,NA,NA,21.5960961485392,11.0785541338841,42.0985774154839
"0","radish",2.16143663506984,0.316379020058697,17,1.49393525005036,2.82893802008932,6.83179508764152,2.91709991816201e-06,"dry_total_weight","BS",NA,NA,NA,8.68360387147432,4.45459100133897,16.9274746377431
"1","radish",2.21409778505687,0.316379020058697,17,1.5465964000374,2.88159917007635,6.99824465176642,2.14519616328404e-06,"dry_total_weight","BS",NA,NA,NA,9.15314727894309,4.69546148191437,17.8427840229808
"2","radish",2.21284440796595,0.316379020058697,17,1.54534302294647,2.88034579298543,6.9942830202692,2.16085195917029e-06,"dry_total_weight","BS",NA,NA,NA,9.14168212041828,4.68957998469853,17.8204342954922
"0","pea",1.24180075584045,0.316379020058697,17,0.574299370820971,1.90930214085993,3.92504141270196,0.00109080571143962,"dry_total_weight","BS",NA,NA,NA,3.46184178705249,1.77588585349011,6.74837773780909
"1","pea",0.740937172701346,0.316379020058697,17,0.0734357876818679,1.40843855772082,2.3419289071819,0.0316183903851978,"dry_total_weight","BS",NA,NA,NA,2.09790068875233,1.07619942919302,4.08956479671031
