contrast,amend,crop,trait,Est_CL,stat.f
linear,RW,lettuce,germination_perc,-0.029 [-0.338 to 0.28],"t = -0.197, df = 18, p > 0.1"
quadratic,RW,lettuce,germination_perc,0.355 [-0.181 to 0.89],"t = 1.39, df = 18, p > 0.1"
linear,RW,radish,germination_perc,-0.018 [-0.327 to 0.291],"t = -0.123, df = 18, p > 0.1"
quadratic,RW,radish,germination_perc,0.36 [-0.175 to 0.896],"t = 1.42, df = 18, p > 0.1"
linear,RW,pea,germination_perc,-0.0155 [-0.325 to 0.293],"t = -0.105, df = 18, p > 0.1"
quadratic,RW,pea,germination_perc,0.707 [0.172 to 1.24],"t = 2.78, df = 18, p = 0.0124*"
linear,BS,lettuce,germination_perc,0.305 [-0.683 to 1.29],"t = 0.649, df = 18, p > 0.1"
quadratic,BS,lettuce,germination_perc,-1.04 [-2.75 to 0.674],"t = -1.27, df = 18, p > 0.1"
linear,BS,radish,germination_perc,0.0744 [-0.914 to 1.06],"t = 0.158, df = 18, p > 0.1"
quadratic,BS,radish,germination_perc,0.034 [-1.68 to 1.75],"t = 0.0417, df = 18, p > 0.1"
linear,BS,pea,germination_perc,-2 [-2.99 to -1.01],"t = -4.25, df = 18, p < 0.001"
quadratic,BS,pea,germination_perc,0.833 [-0.879 to 2.55],"t = 1.02, df = 18, p > 0.1"
linear,RW,lettuce,survival_perc.corr,-0.0287 [-0.416 to 0.359],"t = -0.156, df = 18, p > 0.1"
quadratic,RW,lettuce,survival_perc.corr,0.35 [-0.32 to 1.02],"t = 1.1, df = 18, p > 0.1"
linear,RW,radish,survival_perc.corr,-1.65e-17 [-0.387 to 0.387],"t = -8.94e-17, df = 18, p > 0.1"
quadratic,RW,radish,survival_perc.corr,0.437 [-0.234 to 1.11],"t = 1.37, df = 18, p > 0.1"
linear,RW,pea,survival_perc.corr,0.00573 [-0.382 to 0.393],"t = 0.0311, df = 18, p > 0.1"
quadratic,RW,pea,survival_perc.corr,0.756 [0.0848 to 1.43],"t = 2.37, df = 18, p = 0.0294*"
linear,BS,lettuce,survival_perc.corr,-0.0888 [-0.987 to 0.809],"t = -0.208, df = 18, p > 0.1"
quadratic,BS,lettuce,survival_perc.corr,-0.235 [-1.79 to 1.32],"t = -0.318, df = 18, p > 0.1"
linear,BS,radish,survival_perc.corr,-1.11e-16 [-0.898 to 0.898],"t = -2.6e-16, df = 18, p > 0.1"
quadratic,BS,radish,survival_perc.corr,-5.55e-17 [-1.56 to 1.56],"t = -7.5e-17, df = 18, p > 0.1"
linear,BS,pea,survival_perc.corr,-1.81 [-2.7 to -0.908],"t = -4.23, df = 18, p < 0.001"
