species,sample_ID,spiking_level,source,treat,plants,wet_shoot_weight,dry_shoot_weight,wet_root_weight,dry_root_weight,pods,flowers,wet_pod_weight,dry_pod_weight,ndvi_1,ndvi_2,ndvi_3,
pea,28,0,biosolids,S0_BS,14,78.95,5.3841,1.76,0.0707,9,2,7.56,0.923,0.7141,0.8023,0.7771,
pea,29,0,biosolids,S0_BS,14,53.09,6.0047,2.64,0.4115,17,2,18.71,3.0358,0.7092,0.6318,0.7019,
pea,30,0,biosolids,S0_BS,3,6.6,1.1396,0.2,0.0458,2,1,1.94,0.5022,NA,NA,NA,
pea,37,1,biosolids,S1_BS,1,8.56,0.7421,0.14,0.0199,1,2,1.79,0.2439,NA,NA,NA,
pea,38,1,biosolids,S1_BS,2,21.45,2.9854,0.78,0.094,6,2,11.22,2.1469,NA,NA,NA,
pea,39,1,biosolids,S1_BS,5,30.03,3.7622,1.62,0.1727,8,3,14.01,2.2447,NA,NA,NA,
pea,46,2,biosolids,S2_BS,2,4.03,0.4897,0.41,0.073,0,1,0,0,NA,NA,NA,
pea,47,2,biosolids,S2_BS,3,12.09,1.8946,0.57,0.0788,3,1,4.96,0.8534,NA,NA,NA,
pea,48,2,biosolids,S2_BS,0,0,0,0,0,0,0,0,0,NA,NA,NA,
pea,55,0,NA,controls,18,71.05,8.8388,5.41,0.5472,18,3,29.6,4.4943,0.6555,0.6643,0.6693,
pea,56,0,NA,controls,12,34.77,2.1985,1.98,0.1689,3,3,1.48,0.2375,0.7891,0.7132,0.7097,
pea,57,0,NA,controls,7,43.37,3.4975,1.35,0.1135,8,2,8.86,1.1489,0.7238,0.7533,0.7205,
