"contrast","trait","crop","stat","log2FC_CL","log2FC","sig"
"RW / control","shoot_moisture","radish","Stat = -0.0427, df = 18, p = 0.997","-0.0143 (-0.822 - 0.794)",-0.014276448824612,"ns"
"BS / control","shoot_moisture","radish","Stat = 2.37, df = 18, p = 0.0544","0.794 (-0.014 - 1.6)",0.794166025956814,"."
"RW / control","shoot_moisture","pea","Stat = 0.362, df = 18, p = 0.897","0.121 (-0.687 - 0.929)",0.121260274619041,"ns"
"BS / control","shoot_moisture","pea","Stat = -1.21, df = 18, p = 0.401","-0.404 (-1.21 - 0.404)",-0.403805634187472,"ns"
"RW / control","germination_perc","lettuce","Stat = 1.01, df = 18, p = 0.516","0.64 (-0.896 - 2.18)",0.639693334872147,"ns"
"BS / control","germination_perc","lettuce","Stat = -1.1, df = 18, p = 0.459","-0.701 (-2.24 - 0.835)",-0.701095936137338,"ns"
"RW / control","germination_perc","radish","Stat = 0.0817, df = 18, p = 0.991","0.052 (-1.48 - 1.59)",0.0520016746675152,"ns"
"BS / control","germination_perc","radish","Stat = -0.171, df = 18, p = 0.971","-0.109 (-1.64 - 1.43)",-0.108795914359354,"ns"
"RW / control","germination_perc","pea","Stat = 0.484, df = 18, p = 0.834","0.308 (-1.23 - 1.84)",0.308169933471913,"ns"
"BS / control","germination_perc","pea","Stat = -1.99, df = 18, p = 0.113","-1.27 (-2.8 - 0.268)",-1.26835437018321,"ns"
"RW / control","survival_perc.corr","lettuce","Stat = 0.933, df = 18, p = 0.56","0.422 (-0.671 - 1.51)",0.422077297726584,"ns"
"BS / control","survival_perc.corr","lettuce","Stat = 0.19, df = 18, p = 0.965","0.086 (-1.01 - 1.18)",0.0860012352043163,"ns"
"RW / control","survival_perc.corr","radish","Stat = 1.16e-16, df = 18, p = 1","0 (-1.09 - 1.09)",0,"ns"
"BS / control","survival_perc.corr","radish","Stat = 4.98e-16, df = 18, p = 1","3.2e-16 (-1.09 - 1.09)",3.20342650381492e-16,"ns"
"RW / control","survival_perc.corr","pea","Stat = 1.25, df = 18, p = 0.377","0.567 (-0.526 - 1.66)",0.566683059268862,"ns"
"BS / control","survival_perc.corr","pea","Stat = -2.74, df = 18, p = 0.0257","-1.24 (-2.33 - -0.146)",-1.23926283336974,"*"
"RW / control","wet_pod_weight.corr","pea","Stat = 0.838, df = 6, p = 0.64","1.09 (-2.67 - 4.84)",1.08583108616951,"ns"
"BS / control","wet_pod_weight.corr","pea","Stat = -0.129, df = 6, p = 0.982","-0.167 (-3.92 - 3.59)",-0.166749535017099,"ns"
"RW / control","dry_pod_weight.corr","pea","Stat = 0.961, df = 6, p = 0.569","1.15 (-2.32 - 4.62)",1.14854882704582,"ns"
"BS / control","dry_pod_weight.corr","pea","Stat = 0.0553, df = 6, p = 0.996","0.0662 (-3.4 - 3.53)",0.0661547185320276,"ns"
"RW / control","NDVI_mean","pea","Stat = -0.316, df = 5, p = 0.922","-0.0267 (-0.288 - 0.234)",-0.0267396131488738,"ns"
"BS / control","NDVI_mean","pea","Stat = 0.242, df = 5, p = 0.949","0.023 (-0.269 - 0.315)",0.0229527435877758,"ns"
"RW / control","pods","pea","Stat = 1.95, df = Inf, p = 0.0962","0.666 (-0.0945 - 1.43)",0.665580960929442,"."
"BS / control","pods","pea","Stat = -0.132, df = Inf, p = 0.981","-0.0506 (-0.9 - 0.799)",-0.050626073069965,"ns"
"RW / control","flowers","pea","Stat = 1.08, df = Inf, p = 0.454","0.7 (-0.74 - 2.14)",0.700439718141092,"ns"
"BS / control","flowers","pea","Stat = -0.824, df = Inf, p = 0.618","-0.678 (-2.51 - 1.15)",-0.678071905112638,"ns"
