"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.42588965910535,0.350765382740277,6.91598937202306,0.000452120136503983
"spikeFac.L",1.62452003856992,0.607543464442503,2.6739157503087,0.036833709015377
"spikeFac.Q",-0.642598431426566,0.607543464442503,-1.05769952116303,0.330905719987458
