"Sum Sq","Df","F value","Pr(>F)","trait","term"
644.25310976574,1,2612.04165101056,6.12922664635531e-21,"wet_shoot_weight","(Intercept)"
14.5508972794615,2,29.4973739182646,2.08594396232871e-06,"wet_shoot_weight","species"
0.174820912904752,2,0.354394491119293,0.70638498089189,"wet_shoot_weight","contam"
1.88072202233462,4,1.90628659056729,0.153135930866637,"wet_shoot_weight","species:contam"
4.4396520137023,18,NA,NA,"wet_shoot_weight","Residuals"
104.049452825293,1,570.025895861625,4.43840716730572e-15,"dry_shoot_weight","(Intercept)"
4.49656400805822,2,12.3170178092924,0.000426230528613356,"dry_shoot_weight","species"
0.391202787248233,2,1.07158525686419,0.363330690421302,"dry_shoot_weight","contam"
0.407853276993423,4,0.558597194135752,0.695551660384934,"dry_shoot_weight","species:contam"
3.28562292424328,18,NA,NA,"dry_shoot_weight","Residuals"
127.323607454936,1,327.018861664324,5.43987680135959e-13,"wet_root_weight","(Intercept)"
29.5526414371176,2,37.951607542068,3.49404414567743e-07,"wet_root_weight","species"
0.475591595045886,2,0.610756422700605,0.553814663131056,"wet_root_weight","contam"
2.7497952656797,4,1.76564844408526,0.179784911181759,"wet_root_weight","species:contam"
7.00823470097376,18,NA,NA,"wet_root_weight","Residuals"
6.08556517155076,1,13.5762538663417,0.00169584510754908,"dry_root_weight","(Intercept)"
20.9522499758073,2,23.3711296094892,9.92571710946971e-06,"dry_root_weight","species"
2.53642104082916,2,2.82924387394674,0.0854219962796765,"dry_root_weight","contam"
0.683119536443318,4,0.380991904053869,0.819272813492105,"dry_root_weight","species:contam"
8.06851243106805,18,NA,NA,"dry_root_weight","Residuals"
160.461938277445,1,609.417394391257,2.4740026576111e-15,"shoot_root_ratio","(Intercept)"
13.6852169364913,2,25.9875000160332,4.93135627293474e-06,"shoot_root_ratio","species"
1.62415697599443,2,3.08418782366172,0.0705058874209716,"shoot_root_ratio","contam"
1.04079827537522,4,0.988210319336576,0.43896264483505,"shoot_root_ratio","species:contam"
4.7394690659907,18,NA,NA,"shoot_root_ratio","Residuals"
116.91619837584,1,615.585304814148,2.26520363117962e-15,"dry_total_weight","(Intercept)"
4.84394535848539,2,12.7521319604525,0.000355358020200311,"dry_total_weight","species"
0.546103226589232,2,1.43766700367411,0.263482423401855,"dry_total_weight","contam"
0.229758354044573,4,0.302430006220063,0.872505737695325,"dry_total_weight","species:contam"
3.41868390019558,18,NA,NA,"dry_total_weight","Residuals"
5.63456770664293,1,82.8388530883702,3.72532775379909e-08,"per_plant_weight","(Intercept)"
5.05705809119525,2,37.1741821277599,4.06059504487452e-07,"per_plant_weight","species"
0.0435104279976453,2,0.319842988882684,0.730306594316985,"per_plant_weight","contam"
0.163006382711248,4,0.599125899843388,0.668009874463046,"per_plant_weight","species:contam"
1.22433151761986,18,NA,NA,"per_plant_weight","Residuals"
220.621766219018,1,2732.33616126615,4.09768382802884e-21,"shoot_moisture","(Intercept)"
4.4331461735829,2,27.4516105229491,3.4098250217046e-06,"shoot_moisture","species"
0.0676802164230372,2,0.419099860145719,0.663892822822274,"shoot_moisture","contam"
0.889097937403999,4,2.75280459279847,0.0601704555156524,"shoot_moisture","species:contam"
1.45340527576303,18,NA,NA,"shoot_moisture","Residuals"
494.122658271461,1,1693.79212715448,2.92909409487138e-19,"germination_perc","(Intercept)"
1.0373068341912,2,1.77788057255143,0.197415970104411,"germination_perc","species"
2.36921079813031,2,4.06068263645367,0.0350339975775552,"germination_perc","contam"
0.95935611762895,4,0.822138902141122,0.527940655991834,"germination_perc","species:contam"
5.25106222085722,18,NA,NA,"germination_perc","Residuals"
468.117945838784,1,3171.08152756175,1.08104284495835e-21,"survival_perc.corr","(Intercept)"
3.05729892902674,2,10.3552365854073,0.00101623986421332,"survival_perc.corr","species"
1.10438810172401,2,3.74062214423422,0.0437992690591983,"survival_perc.corr","contam"
1.49814669816926,4,2.53715188788035,0.0758928184405116,"survival_perc.corr","species:contam"
2.65717640869895,18,NA,NA,"survival_perc.corr","Residuals"
