"Sum Sq","Df","F value","Pr(>F)","trait","term","amend","LR Chisq","Pr(>Chisq)","pval","sig","stat","stat_sig"
0.643303368962381,4,4.21735593323056,0.013935923632673,"shoot_moisture","species:spikeFac","RW",NA,NA,0.013935923632673,"*",4.22,"4.22*"
0.686417083633063,18,NA,NA,"shoot_moisture","Residuals","RW",NA,NA,NA,NA,NA,"NANA"
541.208439700755,1,15345.680036457,7.71790418912989e-28,"germination_perc","(Intercept)","RW",NA,NA,7.71790418912989e-28,"***",15300,"15300***"
0.231587000702738,2,3.28326366764713,0.0608637372252715,"germination_perc","species","RW",NA,NA,0.0608637372252715,".",3.28,"3.28."
0.420550088313467,2,5.96223804097598,0.0103089289470515,"germination_perc","spikeFac","RW",NA,NA,0.0103089289470515,"*",5.96,"5.96*"
0.0493242710643057,4,0.349640926794685,0.840836966465031,"germination_perc","species:spikeFac","RW",NA,NA,0.840836966465031,"ns",0.35,"0.35ns"
0.634820476607745,18,NA,NA,"germination_perc","Residuals","RW",NA,NA,NA,NA,NA,"NANA"
501.448617203709,1,9789.25795664232,4.38690454618179e-26,"survival_perc.corr","(Intercept)","RW",NA,NA,4.38690454618179e-26,"***",9790,"9790***"
0.87427079354592,2,8.53373808238322,0.00247350021054767,"survival_perc.corr","species","RW",NA,NA,0.00247350021054767,"**",8.53,"8.53**"
0.411825499603275,2,4.01981968882547,0.036036106130461,"survival_perc.corr","spikeFac","RW",NA,NA,0.036036106130461,"*",4.02,"4.02*"
0.0448496217873856,4,0.218888088366293,0.924419945332078,"survival_perc.corr","species:spikeFac","RW",NA,NA,0.924419945332078,"ns",0.219,"0.219ns"
0.922038743860283,18,NA,NA,"survival_perc.corr","Residuals","RW",NA,NA,NA,NA,NA,"NANA"
48.1546380065313,1,46.7586420660107,0.000480701067150047,"wet_pod_weight.corr","(Intercept)","RW",NA,NA,0.000480701067150047,"***",46.8,"46.8***"
2.1820935358725,2,1.05941748108021,0.403619938028591,"wet_pod_weight.corr","spikeFac","RW",NA,NA,0.403619938028591,"ns",1.06,"1.06ns"
6.17913214056343,6,NA,NA,"wet_pod_weight.corr","Residuals","RW",NA,NA,NA,NA,NA,"NANA"
1.49277034893405,1,1.34463328845594,0.290274084851947,"dry_pod_weight.corr","(Intercept)","RW",NA,NA,0.290274084851947,"ns",1.34,"1.34ns"
2.80059697431801,2,1.26133799546127,0.348919962384476,"dry_pod_weight.corr","spikeFac","RW",NA,NA,0.348919962384476,"ns",1.26,"1.26ns"
6.66101469486101,6,NA,NA,"dry_pod_weight.corr","Residuals","RW",NA,NA,NA,NA,NA,"NANA"
NA,2,NA,NA,"pods","spikeFac","RW",6.30988127054676,0.0426409322848054,0.0426409322848054,"*",6.31,"6.31*"
NA,2,NA,NA,"flowers","spikeFac","RW",0.0495985815610229,0.975505685365635,0.975505685365635,"ns",0.0496,"0.0496ns"
561.015388966475,1,1652.15134554481,2.23832349444272e-18,"wet_shoot_weight","(Intercept)","BS",NA,NA,2.23832349444272e-18,"***",1650,"1650***"
45.9614100302357,2,67.6765797498724,8.02746422512135e-09,"wet_shoot_weight","species","BS",NA,NA,8.02746422512135e-09,"***",67.7,"67.7***"
0.907438518948172,2,1.33617169828563,0.289093954126564,"wet_shoot_weight","spikeFac","BS",NA,NA,0.289093954126564,"ns",1.34,"1.34ns"
2.11588833503031,4,1.55778603782284,0.23071538925453,"wet_shoot_weight","species:spikeFac","BS",NA,NA,0.23071538925453,"ns",1.56,"1.56ns"
5.77263193117764,17,NA,NA,"wet_shoot_weight","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
82.6386638705672,1,277.056147421245,5.87529653272581e-12,"dry_shoot_weight","(Intercept)","BS",NA,NA,5.87529653272581e-12,"***",277,"277***"
19.015605418351,2,31.8760621925258,1.77013831576205e-06,"dry_shoot_weight","species","BS",NA,NA,1.77013831576205e-06,"***",31.9,"31.9***"
0.208757768724121,2,0.349942874424666,0.709687075096598,"dry_shoot_weight","spikeFac","BS",NA,NA,0.709687075096598,"ns",0.35,"0.35ns"
2.25872723089516,4,1.89316427491924,0.157986143429127,"dry_shoot_weight","species:spikeFac","BS",NA,NA,0.157986143429127,"ns",1.89,"1.89ns"
5.07065913850182,17,NA,NA,"dry_shoot_weight","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
84.9075512088576,1,159.639827622764,4.55474624944812e-10,"wet_root_weight","(Intercept)","BS",NA,NA,4.55474624944812e-10,"***",160,"160***"
62.3285155935625,2,58.5938078750118,2.36189247389486e-08,"wet_root_weight","species","BS",NA,NA,2.36189247389486e-08,"***",58.6,"58.6***"
0.477915134060503,2,0.449278589086017,0.645450040522144,"wet_root_weight","spikeFac","BS",NA,NA,0.645450040522144,"ns",0.449,"0.449ns"
0.718454087834065,4,0.337702257054185,0.848757522841512,"wet_root_weight","species:spikeFac","BS",NA,NA,0.848757522841512,"ns",0.338,"0.338ns"
9.0417810645691,17,NA,NA,"wet_root_weight","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
19.5770270948646,1,32.1272879413864,2.7778423747145e-05,"dry_root_weight","(Intercept)","BS",NA,NA,2.7778423747145e-05,"***",32.1,"32.1***"
34.0160015035666,2,27.911333769528,4.26137617191853e-06,"dry_root_weight","species","BS",NA,NA,4.26137617191853e-06,"***",27.9,"27.9***"
0.0731660212366485,2,0.0600353112963717,0.941930025284202,"dry_root_weight","spikeFac","BS",NA,NA,0.941930025284202,"ns",0.06,"0.06ns"
0.61147671089846,4,0.250869147104056,0.905142686248961,"dry_root_weight","species:spikeFac","BS",NA,NA,0.905142686248961,"ns",0.251,"0.251ns"
10.3590897936944,17,NA,NA,"dry_root_weight","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
182.659941516419,1,588.705915543721,1.24579575622084e-14,"shoot_root_ratio","(Intercept)","BS",NA,NA,1.24579575622084e-14,"***",589,"589***"
11.6802309365244,2,18.822465917166,4.89374999626521e-05,"shoot_root_ratio","species","BS",NA,NA,4.89374999626521e-05,"***",18.8,"18.8***"
0.492358625730942,2,0.793426388759485,0.468345153256085,"shoot_root_ratio","spikeFac","BS",NA,NA,0.468345153256085,"ns",0.793,"0.793ns"
0.936832362783651,4,0.754843603453636,0.568591975359107,"shoot_root_ratio","species:spikeFac","BS",NA,NA,0.568591975359107,"ns",0.755,"0.755ns"
5.27465229037352,17,NA,NA,"shoot_root_ratio","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
91.0717798314575,1,303.282405690287,2.83587563182693e-12,"dry_total_weight","(Intercept)","BS",NA,NA,2.83587563182693e-12,"***",303,"303***"
19.3127836636085,2,32.1572033670308,1.66875315878095e-06,"dry_total_weight","species","BS",NA,NA,1.66875315878095e-06,"***",32.2,"32.2***"
0.154037020991052,2,0.256482954313554,0.77670904469017,"dry_total_weight","spikeFac","BS",NA,NA,0.77670904469017,"ns",0.256,"0.256ns"
2.13699104532765,4,1.77912352861941,0.179570879726981,"dry_total_weight","species:spikeFac","BS",NA,NA,0.179570879726981,"ns",1.78,"1.78ns"
5.10487990099837,17,NA,NA,"dry_total_weight","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
1.25116149565907,1,9.78511581107747,0.00612398961812582,"per_plant_weight","(Intercept)","BS",NA,NA,0.00612398961812582,"**",9.79,"9.79**"
5.62347388460241,2,21.9901041601422,1.92623890642617e-05,"per_plant_weight","species","BS",NA,NA,1.92623890642617e-05,"***",22,"22***"
1.19915013852222,2,4.68917202975804,0.0238897628638968,"per_plant_weight","spikeFac","BS",NA,NA,0.0238897628638968,"*",4.69,"4.69*"
1.41926922752986,4,2.77496426453776,0.0608248089335414,"per_plant_weight","species:spikeFac","BS",NA,NA,0.0608248089335414,".",2.77,"2.77."
2.17368356561761,17,NA,NA,"per_plant_weight","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
202.509995855,1,2798.58116335067,2.62419621537588e-20,"shoot_moisture","(Intercept)","BS",NA,NA,2.62419621537588e-20,"***",2800,"2800***"
9.76007693643691,2,67.4395536670771,8.2429473595774e-09,"shoot_moisture","species","BS",NA,NA,8.2429473595774e-09,"***",67.4,"67.4***"
0.281483644080548,2,1.94497763132435,0.173518984556139,"shoot_moisture","spikeFac","BS",NA,NA,0.173518984556139,"ns",1.94,"1.94ns"
0.117424074365885,4,0.405684669115731,0.801976740347881,"shoot_moisture","species:spikeFac","BS",NA,NA,0.801976740347881,"ns",0.406,"0.406ns"
1.23014832466505,17,NA,NA,"shoot_moisture","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
349.773132202468,1,961.061126801139,4.48810339307566e-17,"germination_perc","(Intercept)","BS",NA,NA,4.48810339307566e-17,"***",961,"961***"
25.5377909069396,2,35.0847104099868,6.16014102183942e-07,"germination_perc","species","BS",NA,NA,6.16014102183942e-07,"***",35.1,"35.1***"
1.47044673617403,2,2.02015115950993,0.161619820605324,"germination_perc","spikeFac","BS",NA,NA,0.161619820605324,"ns",2.02,"2.02ns"
5.38481501433126,4,3.69892360849863,0.0228707108130573,"germination_perc","species:spikeFac","BS",NA,NA,0.0228707108130573,"*",3.7,"3.7*"
6.55100513803964,18,NA,NA,"germination_perc","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
339.093461416012,1,1183.30436058926,7.1088382462035e-18,"survival_perc.corr","(Intercept)","BS",NA,NA,7.1088382462035e-18,"***",1180,"1180***"
33.8319107620088,2,59.030108343253,1.24128675541526e-08,"survival_perc.corr","species","BS",NA,NA,1.24128675541526e-08,"***",59,"59***"
2.04388066745044,2,3.56617449392669,0.049585512991992,"survival_perc.corr","spikeFac","BS",NA,NA,0.049585512991992,"*",3.57,"3.57*"
3.19885558305938,4,2.79069061411776,0.0577914385511272,"survival_perc.corr","species:spikeFac","BS",NA,NA,0.0577914385511272,".",2.79,"2.79."
5.15816767754386,18,NA,NA,"survival_perc.corr","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
17.1917363676522,1,13.3445526091617,0.0217135322882164,"wet_pod_weight.corr","(Intercept)","BS",NA,NA,0.0217135322882164,"*",13.3,"13.3*"
0.0646018880837067,2,0.0250726068544853,0.97539111075316,"wet_pod_weight.corr","spikeFac","BS",NA,NA,0.97539111075316,"ns",0.0251,"0.0251ns"
5.15318478518319,4,NA,NA,"wet_pod_weight.corr","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
5.08253318489693e-05,1,4.15341777436099e-05,0.995166515680231,"dry_pod_weight.corr","(Intercept)","BS",NA,NA,0.995166515680231,"ns",4.15e-05,"4.15e-05ns"
0.0557601024935304,2,0.0227834223970262,0.977600060662937,"dry_pod_weight.corr","spikeFac","BS",NA,NA,0.977600060662937,"ns",0.0228,"0.0228ns"
4.89479600753998,4,NA,NA,"dry_pod_weight.corr","Residuals","BS",NA,NA,NA,NA,NA,"NANA"
NA,2,NA,NA,"pods","spikeFac","BS",14.8707057836174,0.000590020726624966,0.000590020726624966,"***",14.9,"14.9***"
NA,2,NA,NA,"flowers","spikeFac","BS",1.30118422088892,0.521736759499311,0.521736759499311,"ns",1.3,"1.3ns"
