species,sample_ID,spiking_level,source,treat,plants,wet_shoot_weight,dry_shoot_weight,dry_shoot_weight_notes,wet_root_weight,dry_root_weight,pods,flowers,wet_pod_weight,dry_pod_weight,seeds_planted1,seeds_germinated,seeds_planted2,seeds_germinated2,planting_date1,planting_date2,fungus_presence,infected_peas
pea,3,0,effluents,S0_EF,20,104.99,6.911,,3.84,0.3209,19,8,16.79,3.0252,25,22,NA,NA,2024-07-04,NA,0,0
pea,10,1,effluents,S1_EF,19,59.97,7.3346,,5.01,0.4316,18,3,26.5,3.8024,25,20,NA,NA,2024-07-04,NA,0,0
pea,55,0,NA,controls,18,71.05,8.8388,,5.41,0.5472,18,3,29.6,4.4943,25,22,NA,NA,2024-07-04,NA,0,0
pea,46,2,biosolids,S2_BS,2,4.03,0.4897,estimate,0.41,0.073,0,1,0,0,25,0,25,4,2024-07-04,2024-07-11,1,11
pea,37,1,biosolids,S1_BS,1,8.56,0.7421,estimate,0.14,0.0199,1,2,1.79,0.2439,25,2,24,3,2024-07-04,2024-07-11,1,15
pea,30,0,biosolids,S0_BS,3,6.6,1.1396,estimate,0.2,0.0458,2,1,1.94,0.5022,25,0,25,4,2024-07-04,2024-07-11,1,10
pea,56,0,NA,controls,12,34.77,2.1985,estimate,1.98,0.1689,3,3,1.48,0.2375,25,17,NA,NA,2024-07-04,NA,0,0
pea,12,1,effluents,S1_EF,7,41.88,4.6195,estimate,1.39,0.1179,2,6,0.87,0.11,25,10,NA,NA,2024-07-04,NA,0,0
radish,14,1,effluents,S1_EF,15,142.21,2.9914,,15.42,0.956,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,60,0,NA,controls,15,166.92,5.1698,,17.15,1.2088,NA,NA,NA,NA,20,18,NA,NA,2024-07-04,NA,0,NA
radish,22,2,effluents,S2_EF,15,101.16,5.2456,,14.68,1.2304,NA,NA,NA,NA,20,18,NA,NA,2024-07-04,NA,0,NA
radish,13,1,effluents,S1_EF,15,145.4,5.8337,,15.86,1.2262,NA,NA,NA,NA,20,1,19,20,2024-07-04,2024-07-09,0,NA
radish,15,1,effluents,S1_EF,15,153.98,5.899,,25.51,2.0322,NA,NA,NA,NA,20,20,NA,NA,2024-07-04,NA,0,NA
radish,33,0,biosolids,S0_BS,15,239.19,6.0437,,14.92,0.9151,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,5,0,effluents,S0_EF,15,127.28,6.2749,,28.28,3.0409,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,24,2,effluents,S2_EF,15,140.39,6.4854,,27.96,3.5702,NA,NA,NA,NA,20,21,NA,NA,2024-07-04,NA,0,NA
