"","Estimate","Std. Error","t value","Pr(>|t|)","trait"
"(Intercept)...1",1.85221841346958,0.00895905222984129,206.742673884645,2.57094012222694e-33,"resp_norm_plant_height4"
"get(traits)...2",0.0234992445691872,0.0227622665067135,1.03237718274919,0.314858382818968,"resp_norm_plant_height4"
"(Intercept)...3",1.84882318669371,0.00927797572097739,199.270103985456,5.17285392852717e-33,"resp_norm_chlorophyll_content4_mean"
"get(traits)...4",-0.00955708244232437,0.163446204953452,-0.0584723422917413,0.953982994289168,"resp_norm_chlorophyll_content4_mean"
"(Intercept)...5",1.85212145730863,0.00975859720317791,189.793821667881,1.30490631534601e-32,"resp_norm_leaf_number2"
"get(traits)...6",0.0187482072885141,0.0285255005487021,0.65724376182304,0.518907372961228,"resp_norm_leaf_number2"
"(Intercept)...7",1.85252276909012,0.00907545257755014,204.124560539569,3.27498522691596e-33,"resp_norm_wet_shoot_weight"
"get(traits)...8",0.0190503554220311,0.0185654876764115,1.02611661778406,0.317723943150779,"resp_norm_wet_shoot_weight"
"(Intercept)...9",1.85193651932809,0.0093909994636884,197.20334629864,6.30550824288378e-33,"resp_norm_dry_shoot_weight"
"get(traits)...10",0.0131204777255519,0.0177922965162466,0.737424632821922,0.469873867254795,"resp_norm_dry_shoot_weight"
"(Intercept)...11",1.84972777439911,0.00903286880202001,204.777442797072,3.08226906664778e-33,"resp_norm_wet_root_weight"
"get(traits)...12",0.00251364511189714,0.00956161792454142,0.262889098030728,0.795465619217862,"resp_norm_wet_root_weight"
"(Intercept)...13",1.84863727613158,0.00888634690913856,208.031184808966,2.2847861797155e-33,"resp_norm_dry_root_weight"
"get(traits)...14",-0.00375737051433785,0.0206720129155001,-0.181761230979133,0.857695212458091,"resp_norm_dry_root_weight"
"(Intercept)...15",1.85098976619842,0.00926761974848402,199.726555084568,4.95289568629127e-33,"resp_norm_dry_total_weight"
"get(traits)...16",0.0117178072268117,0.0210054600776684,0.557845778358804,0.583463558362332,"resp_norm_dry_total_weight"
"(Intercept)...17",1.85212203744282,0.00889580361701353,208.201767617776,2.24949463481125e-33,"resp_norm_shoot_root_ratio"
"get(traits)...18",0.0214448568807429,0.0203179153503351,1.05546541123813,0.304449436732832,"resp_norm_shoot_root_ratio"
"(Intercept)...19",1.84799173097561,0.00871424799953252,212.065542669287,1.58642264524945e-33,"resp_norm_shoot_moisture"
"get(traits)...20",0.0267129324179134,0.0432098768479219,0.618213574454982,0.543774933351123,"resp_norm_shoot_moisture"
"(Intercept)...21",5.73620738909797,0.0698499505494363,82.12185325798,1.04529753702405e-25,"resp_norm_plant_height4"
"get(traits)...22",0.0300266280101252,0.177467788901951,0.169194805411784,0.86743174721407,"resp_norm_plant_height4"
"(Intercept)...23",5.7269913777588,0.0703745898833684,81.3786820960538,1.24179836188772e-25,"resp_norm_chlorophyll_content4_mean"
"get(traits)...24",-0.247747040900639,1.23975961864022,-0.199834739876727,0.843733080867083,"resp_norm_chlorophyll_content4_mean"
"(Intercept)...25",5.73059427028771,0.0749252427909363,76.4841601685265,4.02170714304067e-25,"resp_norm_leaf_number2"
"get(traits)...26",-0.0092381418894905,0.219015090985462,-0.042180389707044,0.966795011141555,"resp_norm_leaf_number2"
"(Intercept)...27",5.74178735622262,0.0705419615052299,81.3953458863903,1.23699000676938e-25,"resp_norm_wet_shoot_weight"
"get(traits)...28",0.0525833189518902,0.144306402992497,0.364386595892244,0.719593216367443,"resp_norm_wet_shoot_weight"
"(Intercept)...29",5.73212877103013,0.0723134291337784,79.2678322642647,2.04316861490736e-25,"resp_norm_dry_shoot_weight"
"get(traits)...30",3.06377445821633e-05,0.137005861647599,0.0002236236042292,0.999823905444347,"resp_norm_dry_shoot_weight"
"(Intercept)...31",5.73994846480197,0.0684403970773569,83.8678428226274,7.01611850761834e-26,"resp_norm_wet_root_weight"
"get(traits)...32",0.0278390712466817,0.0724466326037243,0.384270051569664,0.705045227959628,"resp_norm_wet_root_weight"
"(Intercept)...33",5.73197484443385,0.0675272465243162,84.8838822766125,5.58448781018477e-26,"resp_norm_dry_root_weight"
"get(traits)...34",-0.00144017623336667,0.157086385054727,-0.00916805255188046,0.992780635329017,"resp_norm_dry_root_weight"
"(Intercept)...35",5.73313018667976,0.070934827199409,80.8225016262185,1.41411506977576e-25,"resp_norm_dry_total_weight"
"get(traits)...36",0.00600111497445036,0.160776846837855,0.0373257411902259,0.970614668695825,"resp_norm_dry_total_weight"
"(Intercept)...37",5.732340511431,0.0694922130709213,82.4889618291589,9.60579114807017e-26,"resp_norm_shoot_root_ratio"
"get(traits)...38",0.00151139495492963,0.158719432607758,0.00952243169029423,0.992501588897444,"resp_norm_shoot_root_ratio"
"(Intercept)...39",5.71991698396375,0.0651976930828899,87.7318922418261,2.98765531410341e-26,"resp_norm_shoot_moisture"
"get(traits)...40",0.316727538683931,0.323284842138004,0.979716638086999,0.339537070020533,"resp_norm_shoot_moisture"
