"contrast","species","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"linear","L",0.0847556958148568,0.614758684334846,18,-1.2068043735338,1.37631576516352,0.137868236715615,0.891875116747248,"InvSimpson.c","TP1","BS"
"quadratic","L",0.222771603349793,1.06479327566215,18,-2.01427605778927,2.45981926448886,0.209215824744254,0.836629276327656,"InvSimpson.c","TP1","BS"
"linear","R",0.17687998493141,0.614758684334846,18,-1.11468008441725,1.46844005428007,0.287722629120383,0.77684553081135,"InvSimpson.c","TP1","BS"
"quadratic","R",0.150627604094994,1.06479327566215,18,-2.08642005704407,2.38767526523406,0.141461828824309,0.889076321143301,"InvSimpson.c","TP1","BS"
"linear","P",0.680632279139102,0.614758684334846,18,-0.61092779020956,1.97219234848776,1.1071535815318,0.282804266971237,"InvSimpson.c","TP1","BS"
"quadratic","P",1.0558451061506,1.06479327566215,18,-1.18120255498847,3.29289276728966,0.991596331686082,0.33453804780189,"InvSimpson.c","TP1","BS"
"linear","L",0.0455361423337695,0.174383211098689,18,-0.320829389311471,0.41190167397901,0.261126871370657,0.796958942800309,"InvSimpson.c","TP2","BS"
"quadratic","L",0.164342640855776,0.302040581609938,18,-0.470221074095764,0.798906355807316,0.544107814849901,0.593043948075836,"InvSimpson.c","TP2","BS"
"linear","R",-0.325422590392032,0.174383211098689,18,-0.691788122037272,0.0409429412532088,-1.86613486666366,0.0784030404872429,"InvSimpson.c","TP2","BS"
"quadratic","R",-0.282567416320441,0.302040581609938,18,-0.917131131271981,0.351996298631098,-0.935527983737482,0.361898679194437,"InvSimpson.c","TP2","BS"
"linear","P",-0.0229075545234292,0.174383211098689,18,-0.38927308616867,0.343457977121811,-0.131363302574266,0.896945045579182,"InvSimpson.c","TP2","BS"
"quadratic","P",0.0136498476099836,0.302040581609938,18,-0.620913867341556,0.648213562561523,0.0451920981519341,0.964451786761705,"InvSimpson.c","TP2","BS"
