"Sum Sq","Df","F value","Pr(>F)","metric","term","time"
84.7215120653194,1,4593.84466211741,3.90498775529264e-23,"Shannon","(Intercept)","TP1"
0.110907764328134,2,3.006869381376,0.0746989521770273,"Shannon","species","TP1"
0.00697948293180628,2,0.189223844269315,0.829226375798376,"Shannon","treat.rn","TP1"
0.195057132263352,4,2.64414003011736,0.067600981898469,"Shannon","species:treat.rn","TP1"
0.331963165788207,18,NA,NA,"Shannon","Residuals","TP1"
93.3510404207345,1,61420.014948297,2.95019189936167e-33,"Shannon","(Intercept)","TP2"
0.00684583964321897,2,2.25209901959893,0.133992557599901,"Shannon","species","TP2"
0.00133365391878567,2,0.438736639990767,0.651565030904446,"Shannon","treat.rn","TP2"
0.00932171259715824,4,1.53329765924606,0.234829687936823,"Shannon","species:treat.rn","TP2"
0.0273578365128648,18,NA,NA,"Shannon","Residuals","TP2"
0.0391073603434364,1,0.0347869385009427,0.854128795859966,"InvSimpson.c","(Intercept)","TP1"
4.1264138829806,2,1.83527224435609,0.188201956981334,"InvSimpson.c","species","TP1"
2.76787941372271,2,1.23104768638977,0.315428989673873,"InvSimpson.c","treat.rn","TP1"
6.44057052013681,4,1.43226063218932,0.263870080257966,"InvSimpson.c","species:treat.rn","TP1"
20.2355400192167,18,NA,NA,"InvSimpson.c","Residuals","TP1"
28.8796634727124,1,67.0890779385221,1.74909524128766e-07,"InvSimpson.c","(Intercept)","TP2"
0.249479070022697,2,0.289776935742298,0.751856591652486,"InvSimpson.c","species","TP2"
0.833484403355814,2,0.968115507130405,0.398717253188153,"InvSimpson.c","treat.rn","TP2"
0.89825087059823,4,0.52167178750932,0.721022762566964,"InvSimpson.c","species:treat.rn","TP2"
7.74841387722126,18,NA,NA,"InvSimpson.c","Residuals","TP2"
